sogn_code;sogn_name_full;pop_2020;n_tested;test_inc_cum;n_cases;inc_cum;n_cases_7days;inc_7days;n_tested_7days;tested_inc_7days;n_vaccines_started;n_vaccines_done;n_vaccines_started_7days;n_vaccines_done_7days;pct_vaccines_started;pct_vaccines_done;pct_vaccines_started_7days;pct_vaccines_done_7days
7064;Bispebjerg (København Municipality);10786;8274;76710,55071388837;803;7444,835898386798;13;120,52660856666049;157;1455,5905803819767;726;388;181;19;6,730947524568885;3,597255701835713;1,678101242351196;0,17615427405896533
7065;Emdrup (København Municipality);4988;3935;78889,33440256616;269;5392,943063352045;2;40,09623095429030;59;1182,8388131515637;449;273;101;3;9,001603849238171;5,473135525260626;2,024859663191660;0,06014434643143544
7066;Lundehus (København Municipality);6955;5134;73817,39755571532;418;6010,064701653487;3;43,13443565780015;51;733,2854061826024;463;228;131;16;6,657081236520488;3,278217109992811;1,883537023723939;0,23005032350826743
7067;Husum (København Municipality);10671;8338;78137,00684097086;534;5004,217036828788;4;37,48477181145159;69;646,6123137475400;645;303;209;5;6,044419454596571;2,839471464717459;1,958579327148346;0,04685596476431449
7068;Brønshøj (København Municipality);9281;7440;80163,77545523111;448;4827,066048917142;12;129,29641202456631;75;808,1025751535395;589;279;179;7;6,346298890205797;3,006141579571167;1,928671479366447;0,07542290701433035
7069;Utterslev (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7070;Husumvold (København Municipality);9281;7146;76996,01336062925;823;8867,578924684840;22;237,04342204503826;88;948,1736881801530;787;495;140;55;8,479689688611142;5,333476996013361;1,508458140286607;0,59260855511259558
7071;Bellahøj (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7080;Islands Brygges (København Municipality);33050;27701;83815,43116490166;1668;5046,898638426626;25;75,64296520423601;253;765,5068078668684;1563;728;502;44;4,729198184568835;2,202723146747353;1,518910741301059;0,13313161875945537
7081;Christians (København Municipality);7400;5923;80040,54054054053;363;4905,405405405405;4;54,05405405405406;57;770,2702702702703;380;153;118;4;5,135135135135135;2,067567567567568;1,594594594594595;0,05405405405405406
7082;Vor Frelsers (København Municipality);14986;11708;78126,25116775658;739;4931,269184572267;20;133,45789403443214;134;894,1678900306954;741;329;203;12;4,944614973975710;2,195382356866408;1,354597624449486;0,08007473642065928
