"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2021-02-22;1083;Syddanmark;184;1083
2021-02-22;1084;Hovedstaden;146;1084
2021-02-22;1085;Sjælland;377;1085
2021-02-23;1081;Nordjylland;26;1081
2021-02-23;1082;Midtjylland;270;1082
2021-02-23;1083;Syddanmark;348;1083
2021-02-23;1084;Hovedstaden;160;1084
2021-02-23;1085;Sjælland;1092;1085
2021-02-24;1081;Nordjylland;9;1081
2021-02-24;1082;Midtjylland;219;1082
2021-02-24;1083;Syddanmark;580;1083
2021-02-24;1084;Hovedstaden;77;1084
2021-02-24;1085;Sjælland;991;1085
2021-02-25;1081;Nordjylland;20;1081
2021-02-25;1082;Midtjylland;147;1082
2021-02-25;1083;Syddanmark;310;1083
2021-02-25;1084;Hovedstaden;38;1084
2021-02-25;1085;Sjælland;97;1085
2021-02-26;1081;Nordjylland;49;1081
2021-02-26;1082;Midtjylland;386;1082
2021-02-26;1083;Syddanmark;298;1083
2021-02-26;1084;Hovedstaden;67;1084
2021-02-26;1085;Sjælland;202;1085
2021-02-27;1081;Nordjylland;2;1081
2021-02-27;1082;Midtjylland;2;1082
2021-02-27;1083;Syddanmark;114;1083
2021-02-27;1084;Hovedstaden;1055;1084
2021-02-27;1085;Sjælland;207;1085
2021-02-28;1081;Nordjylland;4;1081
2021-02-28;1082;Midtjylland;2;1082
2021-02-28;1083;Syddanmark;29;1083
2021-02-28;1084;Hovedstaden;1086;1084
2021-02-28;1085;Sjælland;214;1085
2021-03-01;1081;Nordjylland;76;1081
2021-03-01;1082;Midtjylland;143;1082
2021-03-01;1083;Syddanmark;364;1083
2021-03-01;1084;Hovedstaden;223;1084
2021-03-01;1085;Sjælland;244;1085
2021-03-02;1081;Nordjylland;72;1081
2021-03-02;1082;Midtjylland;178;1082
2021-03-02;1083;Syddanmark;348;1083
2021-03-02;1084;Hovedstaden;252;1084
2021-03-02;1085;Sjælland;415;1085
2021-03-03;1081;Nordjylland;47;1081
2021-03-03;1082;Midtjylland;218;1082
2021-03-03;1083;Syddanmark;158;1083
2021-03-03;1084;Hovedstaden;45;1084
2021-03-03;1085;Sjælland;539;1085
2021-03-04;1081;Nordjylland;38;1081
2021-03-04;1082;Midtjylland;610;1082
2021-03-04;1083;Syddanmark;177;1083
2021-03-04;1084;Hovedstaden;197;1084
2021-03-04;1085;Sjælland;760;1085
2021-03-05;1081;Nordjylland;672;1081
2021-03-05;1082;Midtjylland;2579;1082
2021-03-05;1083;Syddanmark;490;1083
2021-03-05;1084;Hovedstaden;269;1084
2021-03-05;1085;Sjælland;1594;1085
2021-03-06;1081;Nordjylland;689;1081
2021-03-06;1082;Midtjylland;1506;1082
2021-03-06;1083;Syddanmark;325;1083
2021-03-06;1084;Hovedstaden;95;1084
2021-03-06;1085;Sjælland;1255;1085
2021-03-07;1081;Nordjylland;595;1081
2021-03-07;1082;Midtjylland;1101;1082
2021-03-07;1083;Syddanmark;614;1083
2021-03-07;1084;Hovedstaden;318;1084
2021-03-07;1085;Sjælland;1590;1085
2021-03-08;1081;Nordjylland;582;1081
2021-03-08;1082;Midtjylland;3367;1082
2021-03-08;1083;Syddanmark;779;1083
2021-03-08;1084;Hovedstaden;241;1084
2021-03-08;1085;Sjælland;1351;1085
2021-03-09;1081;Nordjylland;532;1081
2021-03-09;1082;Midtjylland;2726;1082
