"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-03-02,1082,Midtjylland,4853,1082
2021-03-02,1083,Syddanmark,3013,1083
2021-03-02,1084,Hovedstaden,6726,1084
2021-03-02,1085,Sjælland,1360,1085
2021-03-03,1081,Nordjylland,745,1081
2021-03-03,1082,Midtjylland,3037,1082
2021-03-03,1083,Syddanmark,2934,1083
2021-03-03,1084,Hovedstaden,4473,1084
2021-03-03,1085,Sjælland,1809,1085
2021-03-04,1081,Nordjylland,503,1081
2021-03-04,1082,Midtjylland,3700,1082
2021-03-04,1083,Syddanmark,3070,1083
2021-03-04,1084,Hovedstaden,8141,1084
2021-03-04,1085,Sjælland,2007,1085
2021-03-05,1081,Nordjylland,3908,1081
2021-03-05,1082,Midtjylland,2100,1082
2021-03-05,1083,Syddanmark,4070,1083
2021-03-05,1084,Hovedstaden,4759,1084
2021-03-05,1085,Sjælland,1800,1085
2021-03-06,1081,Nordjylland,2141,1081
2021-03-06,1082,Midtjylland,1203,1082
2021-03-06,1083,Syddanmark,3171,1083
2021-03-06,1084,Hovedstaden,6192,1084
2021-03-06,1085,Sjælland,1931,1085
2021-03-07,1081,Nordjylland,1396,1081
2021-03-07,1082,Midtjylland,216,1082
2021-03-07,1083,Syddanmark,2636,1083
2021-03-07,1084,Hovedstaden,6152,1084
2021-03-07,1085,Sjælland,1662,1085
2021-03-08,1081,Nordjylland,126,1081
2021-03-08,1082,Midtjylland,4046,1082
2021-03-08,1083,Syddanmark,2897,1083
2021-03-08,1084,Hovedstaden,1316,1084
2021-03-08,1085,Sjælland,1230,1085
2021-03-09,1081,Nordjylland,652,1081
2021-03-09,1082,Midtjylland,4219,1082
2021-03-09,1083,Syddanmark,2098,1083
2021-03-09,1084,Hovedstaden,2496,1084
2021-03-09,1085,Sjælland,1454,1085
2021-03-10,1081,Nordjylland,1176,1081
2021-03-10,1082,Midtjylland,2931,1082
2021-03-10,1083,Syddanmark,3079,1083
2021-03-10,1084,Hovedstaden,3038,1084
2021-03-10,1085,Sjælland,1862,1085
2021-03-11,1081,Nordjylland,959,1081
2021-03-11,1082,Midtjylland,1035,1082
2021-03-11,1083,Syddanmark,1191,1083
2021-03-11,1084,Hovedstaden,603,1084
2021-03-11,1085,Sjælland,793,1085
2021-03-12,1081,Nordjylland,263,1081
2021-03-12,1082,Midtjylland,767,1082
2021-03-12,1083,Syddanmark,1034,1083
2021-03-12,1084,Hovedstaden,1026,1084
2021-03-12,1085,Sjælland,279,1085
2021-03-13,1081,Nordjylland,149,1081
2021-03-13,1082,Midtjylland,349,1082
2021-03-13,1083,Syddanmark,1247,1083
2021-03-13,1084,Hovedstaden,2285,1084
2021-03-13,1085,Sjælland,509,1085
2021-03-14,1081,Nordjylland,11,1081
2021-03-14,1082,Midtjylland,28,1082
2021-03-14,1083,Syddanmark,908,1083
2021-03-14,1084,Hovedstaden,77,1084
2021-03-14,1085,Sjælland,210,1085
2021-03-15,1081,Nordjylland,166,1081
2021-03-15,1082,Midtjylland,1002,1082
2021-03-15,1083,Syddanmark,1226,1083
2021-03-15,1084,Hovedstaden,329,1084
2021-03-15,1085,Sjælland,106,1085
2021-03-16,1081,Nordjylland,1298,1081
2021-03-16,1082,Midtjylland,1656,1082
2021-03-16,1083,Syddanmark,1166,1083
2021-03-16,1084,Hovedstaden,887,1084
2021-03-16,1085,Sjælland,1824,1085
2021-03-17,1081,Nordjylland,1426,1081
2021-03-17,1082,Midtjylland,3752,1082
2021-03-17,1083,Syddanmark,2062,1083
2021-03-17,1084,Hovedstaden,1937,1084
2021-03-17,1085,Sjælland,1600,1085
2021-03-18,1081,Nordjylland,1669,1081
2021-03-18,1082,Midtjylland,3494,1082
2021-03-18,1083,Syddanmark,1813,1083
2021-03-18,1084,Hovedstaden,5900,1084
2021-03-18,1085,Sjælland,1832,1085
2021-03-19,1081,Nordjylland,1138,1081
2021-03-19,1082,Midtjylland,1804,1082
2021-03-19,1083,Syddanmark,1586,1083
2021-03-19,1084,Hovedstaden,2992,1084
2021-03-19,1085,Sjælland,345,1085
2021-03-20,1081,Nordjylland,7,1081
2021-03-20,1082,Midtjylland,872,1082
2021-03-20,1083,Syddanmark,916,1083
2021-03-20,1084,Hovedstaden,141,1084
2021-03-20,1085,Sjælland,1016,1085
2021-03-21,1081,Nordjylland,1,1081
2021-03-21,1082,Midtjylland,614,1082
2021-03-21,1083,Syddanmark,751,1083
2021-03-21,1084,Hovedstaden,2283,1084
2021-03-21,1085,Sjælland,1334,1085
2021-03-22,1081,Nordjylland,142,1081
2021-03-22,1082,Midtjylland,2195,1082
2021-03-22,1083,Syddanmark,973,1083
2021-03-22,1084,Hovedstaden,91,1084
2021-03-22,1085,Sjælland,698,1085
2021-03-23,1081,Nordjylland,364,1081
2021-03-23,1082,Midtjylland,974,1082
2021-03-23,1083,Syddanmark,781,1083
2021-03-23,1084,Hovedstaden,2045,1084
