"Dato";"Kommune";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-03-30;Thisted;K;18202;17954;14244;-3;-3;-3;21325;85.4;84.2;66.8
2022-03-30;Thisted;M;18075;17774;13606;-2;-2;-2;21723;83.2;81.8;62.6
2022-03-30;Tårnby;K;17570;17249;13159;3;3;9;21591;81.4;79.9;60.9
2022-03-30;Tårnby;M;16689;16296;11868;5;6;4;21215;78.7;76.8;55.9
2022-03-30;Tønder;K;15039;14840;11717;1;1;1;18242;82.4;81.4;64.2
2022-03-30;Tønder;M;14897;14648;11102;1;0;-3;18627;80.0;78.6;59.6
2022-03-30;Vallensbæk;K;6370;6226;4572;1;1;2;8241;77.3;75.5;55.5
2022-03-30;Vallensbæk;M;6166;6013;4293;0;0;1;8268;74.6;72.7;51.9
2022-03-30;Varde;K;20488;20174;15879;-1;-1;-1;24486;83.7;82.4;64.8
2022-03-30;Varde;M;20667;20324;15506;-5;-5;-5;25239;81.9;80.5;61.4
2022-03-30;Vejen;K;17319;17071;13153;-1;1;0;20879;82.9;81.8;63.0
2022-03-30;Vejen;M;17576;17236;12734;-2;-1;-1;21713;80.9;79.4;58.6
2022-03-30;Vejle;K;49437;48720;37094;1;4;10;59526;83.1;81.8;62.3
2022-03-30;Vejle;M;48587;47718;34994;-6;-1;-3;59974;81.0;79.6;58.3
2022-03-30;Vesthimmerland;K;14999;14789;11652;-2;-2;-2;17888;83.8;82.7;65.1
2022-03-30;Vesthimmerland;M;15030;14773;11177;-1;0;0;18364;81.8;80.4;60.9
2022-03-30;Viborg;K;41091;40508;31281;1;0;0;48108;85.4;84.2;65.0
2022-03-30;Viborg;M;40882;40173;29736;-7;-8;-4;48758;83.8;82.4;61.0
2022-03-30;Vordingborg;K;18940;18676;15007;2;3;1;22697;83.4;82.3;66.1
2022-03-30;Vordingborg;M;18505;18172;14071;0;0;0;22661;81.7;80.2;62.1
2022-03-30;Århus;K;151479;148877;116551;-1;-4;41;180811;83.8;82.3;64.5
2022-03-30;Århus;M;144056;140989;104395;-4;-4;28;174840;82.4;80.6;59.7
2022-03-30;Ærø;K;2631;2592;2227;0;0;0;3010;87.4;86.1;74.0
2022-03-30;Ærø;M;2635;2586;2166;2;2;3;3018;87.3;85.7;71.8
