"Dato";"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-31;Odder;11;0;0;23378;59;0;0;0.25;0.00;0.00
2020-12-31;Odense;150;0;0;206130;1906;0;0;0.92;0.00;0.00
2020-12-31;Odsherred;8;0;0;32845;82;0;0;0.25;0.00;0.00
2020-12-31;Randers;172;0;0;99126;320;0;0;0.32;0.00;0.00
2020-12-31;Rebild;15;0;0;30710;469;0;0;1.53;0.00;0.00
2020-12-31;Ringkøbing-Skjern;3;0;0;56224;27;0;0;0.05;0.00;0.00
2020-12-31;Ringsted;23;0;0;35295;293;0;0;0.83;0.00;0.00
2020-12-31;Roskilde;310;0;0;89603;930;0;0;1.04;0.00;0.00
2020-12-31;Rudersdal;31;0;0;57228;271;0;0;0.47;0.00;0.00
2020-12-31;Rødovre;26;0;0;41503;159;0;0;0.38;0.00;0.00
2020-12-31;Samsø;1;0;0;3707;3;0;0;0.08;0.00;0.00
2020-12-31;Silkeborg;33;0;0;97836;120;0;0;0.12;0.00;0.00
2020-12-31;Skanderborg;110;0;0;64533;237;0;0;0.37;0.00;0.00
2020-12-31;Skive;8;0;0;45037;47;0;0;0.10;0.00;0.00
2020-12-31;Slagelse;71;0;0;79718;964;0;0;1.21;0.00;0.00
2020-12-31;Solrød;29;0;0;23824;210;0;0;0.88;0.00;0.00
2020-12-31;Sorø;12;0;0;29986;143;0;0;0.48;0.00;0.00
2020-12-31;Stevns;29;0;0;23624;102;0;0;0.43;0.00;0.00
2020-12-31;Struer;9;0;0;20799;16;0;0;0.08;0.00;0.00
2020-12-31;Svendborg;28;0;0;59217;154;0;0;0.26;0.00;0.00
2020-12-31;Syddjurs;11;0;0;43731;119;0;0;0.27;0.00;0.00
2020-12-31;Sønderborg;64;0;0;73757;744;0;0;1.01;0.00;0.00
2020-12-31;Tårnby;23;0;0;42806;187;0;0;0.44;0.00;0.00
2020-12-31;Tønder;2;0;0;36869;30;0;0;0.08;0.00;0.00
2020-12-31;Vallensbæk;6;0;0;16509;64;0;0;0.39;0.00;0.00
2020-12-31;Varde;96;0;0;49725;193;0;0;0.39;0.00;0.00
2020-12-31;Vejen;12;0;0;42592;85;0;0;0.20;0.00;0.00
2020-12-31;Vejle;158;0;0;119500;401;0;0;0.34;0.00;0.00
2020-12-31;Vesthimmerland;9;0;0;36252;60;0;0;0.17;0.00;0.00
2020-12-31;Viborg;48;0;0;96866;244;0;0;0.25;0.00;0.00
2020-12-31;Vordingborg;87;0;0;45358;432;0;0;0.95;0.00;0.00
2020-12-31;Århus;298;0;0;355651;3036;0;0;0.85;0.00;0.00
2021-01-01;Aabenraa;1;0;0;58738;167;0;0;0.28;0.00;0.00
2021-01-01;Aalborg;3;0;0;221177;2342;1;0;1.06;0.00;0.00
2021-01-01;Albertslund;5;0;0;27531;105;0;0;0.38;0.00;0.00
2021-01-01;Allerød;1;0;0;25871;111;0;0;0.43;0.00;0.00
2021-01-01;Ballerup;9;0;0;49380;172;0;0;0.35;0.00;0.00
2021-01-01;Billund;2;0;0;26730;197;0;0;0.74;0.00;0.00
2021-01-01;Brøndby;11;0;0;35829;147;0;0;0.41;0.00;0.00
2021-01-01;Dragør;5;0;0;14580;60;0;0;0.41;0.00;0.00
2021-01-01;Egedal;7;0;0;44537;198;0;0;0.44;0.00;0.00
2021-01-01;Esbjerg;207;0;0;115457;980;0;0;0.85;0.00;0.00
2021-01-01;Favrskov;4;0;0;49002;144;0;0;0.29;0.00;0.00
2021-01-01;Faxe;5;0;0;37128;127;0;0;0.34;0.00;0.00
2021-01-01;Fredensborg;3;0;0;41314;136;0;0;0.33;0.00;0.00
2021-01-01;Fredericia;9;0;0;51681;107;0;0;0.21;0.00;0.00
2021-01-01;Frederiksberg;32;0;0;103866;568;0;0;0.55;0.00;0.00
2021-01-01;Frederikssund;6;0;0;45881;119;0;0;0.26;0.00;0.00
2021-01-01;Furesø;8;0;0;41583;186;0;0;0.45;0.00;0.00
2021-01-01;Gentofte;26;0;0;74308;447;0;0;0.60;0.00;0.00
2021-01-01;Gladsaxe;21;0;0;69261;369;0;0;0.53;0.00;0.00
2021-01-01;Glostrup;7;0;0;23519;103;0;0;0.44;0.00;0.00
2021-01-01;Greve;12;0;0;50911;428;0;0;0.84;0.00;0.00
2021-01-01;Gribskov;3;0;0;41241;121;0;0;0.29;0.00;0.00
2021-01-01;Guldborgsund;34;0;0;60228;409;0;0;0.68;0.00;0.00
2021-01-01;Haderslev;9;0;0;55255;104;0;0;0.19;0.00;0.00
