"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2022-U07;40-49;43;146;1451;751659;682055;676316;574077;90.7;90.0;76.4
2022-U07;50-59;42;110;1032;806805;757408;754092;696485;93.9;93.5;86.3
2022-U07;60-69;18;72;500;668075;641413;639755;615435;96.0;95.8;92.1
2022-U07;70-79;9;44;247;566192;551709;550905;539376;97.4;97.3;95.3
2022-U07;80-89;4;26;84;221246;215177;214758;209789;97.3;97.1;94.8
2022-U07;90+;3;8;26;34348;32736;32593;31326;95.3;94.9;91.2
2022-U08;0-9;74;906;0;621965;130189;101485;3;20.9;16.3;0.00
2022-U08;10-19;162;848;754;711900;576481;555459;123016;81.0;78.0;17.3
2022-U08;20-29;175;376;3323;782832;649762;633566;414876;83.0;80.9;53.0
2022-U08;30-39;106;290;3529;717644;602285;589670;379819;83.9;82.2;52.9
2022-U08;40-49;44;117;1422;751659;682099;676433;575499;90.7;90.0;76.6
2022-U08;50-59;32;80;852;806805;757440;754172;697337;93.9;93.5;86.4
2022-U08;60-69;16;58;481;668075;641429;639813;615916;96.0;95.8;92.2
2022-U08;70-79;18;32;185;566192;551727;550937;539561;97.4;97.3;95.3
2022-U08;80-89;6;24;91;221246;215183;214782;209880;97.3;97.1;94.9
2022-U08;90+;1;8;17;34348;32737;32601;31343;95.3;94.9;91.3
2022-U09;0-9;93;532;1;621965;130282;102017;4;20.9;16.4;0.00
2022-U09;10-19;147;567;887;711900;576628;556026;123903;81.0;78.1;17.4
2022-U09;20-29;120;329;2714;782832;649882;633895;417590;83.0;81.0;53.3
2022-U09;30-39;71;260;2816;717644;602356;589930;382635;83.9;82.2;53.3
2022-U09;40-49;37;103;1100;751659;682136;676536;576599;90.8;90.0;76.7
2022-U09;50-59;36;74;634;806805;757476;754246;697971;93.9;93.5;86.5
2022-U09;60-69;17;37;318;668075;641446;639850;616234;96.0;95.8;92.2
2022-U09;70-79;3;28;137;566192;551730;550965;539698;97.4;97.3;95.3
2022-U09;80-89;3;17;41;221246;215186;214799;209921;97.3;97.1;94.9
2022-U09;90+;2;2;10;34348;32739;32603;31353;95.3;94.9;91.3
2022-U10;0-9;69;387;0;621965;130351;102404;4;21.0;16.5;0.00
2022-U10;10-19;116;367;698;711900;576744;556393;124601;81.0;78.2;17.5
2022-U10;20-29;110;253;2218;782832;649992;634148;419808;83.0;81.0;53.6
2022-U10;30-39;74;190;2384;717644;602430;590120;385019;83.9;82.2;53.7
2022-U10;40-49;43;80;815;751659;682179;676616;577414;90.8;90.0;76.8
2022-U10;50-59;16;45;522;806805;757492;754291;698493;93.9;93.5;86.6
2022-U10;60-69;8;17;232;668075;641454;639867;616466;96.0;95.8;92.3
2022-U10;70-79;8;7;87;566192;551738;550972;539785;97.4;97.3;95.3
2022-U10;80-89;1;4;32;221246;215187;214803;209953;97.3;97.1;94.9
2022-U10;90+;1;4;7;34348;32740;32607;31360;95.3;94.9;91.3
2022-U11;0-9;51;294;0;621965;130402;102698;4;21.0;16.5;0.00
2022-U11;10-19;98;339;596;711900;576842;556732;125197;81.0;78.2;17.6
2022-U11;20-29;118;226;2103;782832;650110;634374;421911;83.0;81.0;53.9
2022-U11;30-39;73;162;2109;717644;602503;590282;387128;84.0;82.3;53.9
2022-U11;40-49;30;69;746;751659;682209;676685;578160;90.8;90.0;76.9
2022-U11;50-59;19;50;388;806805;757511;754341;698881;93.9;93.5;86.6
2022-U11;60-69;3;22;218;668075;641457;639889;616684;96.0;95.8;92.3
2022-U11;70-79;8;19;87;566192;551746;550991;539872;97.4;97.3;95.4
2022-U11;80-89;1;8;27;221246;215188;214811;209980;97.3;97.1;94.9
2022-U11;90+;3;1;10;34348;32743;32608;31370;95.3;94.9;91.3
2022-U12;0-9;61;211;1;621965;130463;102909;5;21.0;16.5;0.00
2022-U12;10-19;107;293;490;711900;576949;557025;125687;81.0;78.2;17.7
2022-U12;20-29;99;205;1676;782832;650209;634579;423587;83.1;81.1;54.1
2022-U12;30-39;86;137;1772;717644;602589;590419;388900;84.0;82.3;54.2
2022-U12;40-49;33;43;618;751659;682242;676728;578778;90.8;90.0;77.0
2022-U12;50-59;22;31;335;806805;757533;754372;699216;93.9;93.5;86.7
2022-U12;60-69;9;18;161;668075;641466;639907;616845;96.0;95.8;92.3
2022-U12;70-79;8;11;63;566192;551754;551002;539935;97.4;97.3;95.4
2022-U12;80-89;5;7;21;221246;215193;214818;210001;97.3;97.1;94.9
2022-U12;90+;0;3;5;34348;32743;32611;31375;95.3;94.9;91.3
2022-U13;0-9;12;53;0;621965;130475;102962;5;21.0;16.6;0.00
2022-U13;10-19;30;78;156;711900;576979;557103;125843;81.0;78.3;17.7
2022-U13;20-29;42;70;615;782832;650251;634649;424202;83.1;81.1;54.2
2022-U13;30-39;20;40;574;717644;602609;590459;389474;84.0;82.3;54.3
2022-U13;40-49;5;15;192;751659;682247;676743;578970;90.8;90.0;77.0
2022-U13;50-59;4;16;105;806805;757537;754388;699321;93.9;93.5;86.7
2022-U13;60-69;3;4;36;668075;641469;639911;616881;96.0;95.8;92.3
2022-U13;70-79;2;2;20;566192;551756;551004;539955;97.5;97.3;95.4
2022-U13;80-89;0;3;6;221246;215193;214821;210007;97.3;97.1;94.9
2022-U13;90+;0;0;3;34348;32743;32611;31378;95.3;94.9;91.4
