"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-07-21;40-49;Midtjylland;607;6617
2021-07-21;50-59;Midtjylland;167;1836
2021-07-21;60-69;Midtjylland;53;211
2021-07-21;70-79;Midtjylland;15;43
2021-07-21;80-89;Midtjylland;6;15
2021-07-21;90+;Midtjylland;1;2
2021-07-21;10-19;Syddanmark;1999;1802
2021-07-21;20-29;Syddanmark;1837;1530
2021-07-21;30-39;Syddanmark;3656;71
2021-07-21;40-49;Syddanmark;619;3720
2021-07-21;50-59;Syddanmark;107;2369
2021-07-21;60-69;Syddanmark;34;396
2021-07-21;70-79;Syddanmark;11;58
2021-07-21;80-89;Syddanmark;2;10
2021-07-21;90+;Syddanmark;2;2
2021-07-21;10-19;Hovedstaden;1176;1847
2021-07-21;20-29;Hovedstaden;1293;6095
2021-07-21;30-39;Hovedstaden;2648;1003
2021-07-21;40-49;Hovedstaden;259;8123
2021-07-21;50-59;Hovedstaden;107;967
2021-07-21;60-69;Hovedstaden;34;229
2021-07-21;70-79;Hovedstaden;16;63
2021-07-21;80-89;Hovedstaden;4;18
;;NA;0;2
2021-07-21;10-19;Sjælland;959;1492
2021-07-21;20-29;Sjælland;541;1626
2021-07-21;30-39;Sjælland;1527;225
2021-07-21;40-49;Sjælland;180;4353
2021-07-21;50-59;Sjælland;80;1227
2021-07-21;60-69;Sjælland;28;184
2021-07-21;70-79;Sjælland;14;49
2021-07-21;80-89;Sjælland;1;12
;;NA;0;2
2021-07-22;10-19;Nordjylland;1005;763
2021-07-22;20-29;Nordjylland;523;881
2021-07-22;30-39;Nordjylland;692;139
2021-07-22;40-49;Nordjylland;102;1886
2021-07-22;50-59;Nordjylland;48;637
2021-07-22;60-69;Nordjylland;12;60
2021-07-22;70-79;Nordjylland;5;17
2021-07-22;80-89;Nordjylland;1;1
2021-07-22;10-19;Midtjylland;2268;3098
2021-07-22;20-29;Midtjylland;1788;3075
2021-07-22;30-39;Midtjylland;2208;158
2021-07-22;40-49;Midtjylland;371;7674
2021-07-22;50-59;Midtjylland;84;1190
2021-07-22;60-69;Midtjylland;37;168
2021-07-22;70-79;Midtjylland;14;47
2021-07-22;80-89;Midtjylland;7;15
;;NA;0;2
2021-07-22;10-19;Syddanmark;1560;1741
2021-07-22;20-29;Syddanmark;1745;1670
2021-07-22;30-39;Syddanmark;2374;123
2021-07-22;40-49;Syddanmark;585;3346
2021-07-22;50-59;Syddanmark;103;2621
2021-07-22;60-69;Syddanmark;33;283
2021-07-22;70-79;Syddanmark;9;70
2021-07-22;80-89;Syddanmark;5;14
;;NA;0;2
2021-07-22;10-19;Hovedstaden;1625;1372
2021-07-22;20-29;Hovedstaden;1428;5782
2021-07-22;30-39;Hovedstaden;2606;852
