"2. stik dato";"regionskode_current";"Regionsnavn";"Antal 2.stik";"regionskode_num"
2021-03-08;1085;Sjælland;1307;1085
2021-03-09;1081;Nordjylland;514;1081
2021-03-09;1082;Midtjylland;2656;1082
2021-03-09;1083;Syddanmark;690;1083
2021-03-09;1084;Hovedstaden;1343;1084
2021-03-09;1085;Sjælland;1567;1085
2021-03-10;1081;Nordjylland;363;1081
2021-03-10;1082;Midtjylland;1668;1082
2021-03-10;1083;Syddanmark;801;1083
2021-03-10;1084;Hovedstaden;1595;1084
2021-03-10;1085;Sjælland;2391;1085
2021-03-11;1081;Nordjylland;759;1081
2021-03-11;1082;Midtjylland;1213;1082
2021-03-11;1083;Syddanmark;373;1083
2021-03-11;1084;Hovedstaden;4106;1084
2021-03-11;1085;Sjælland;1115;1085
2021-03-12;1081;Nordjylland;1448;1081
2021-03-12;1082;Midtjylland;973;1082
2021-03-12;1083;Syddanmark;2144;1083
2021-03-12;1084;Hovedstaden;4556;1084
2021-03-12;1085;Sjælland;916;1085
2021-03-13;1081;Nordjylland;2260;1081
2021-03-13;1082;Midtjylland;557;1082
2021-03-13;1083;Syddanmark;1818;1083
2021-03-13;1084;Hovedstaden;91;1084
2021-03-13;1085;Sjælland;855;1085
2021-03-14;1081;Nordjylland;2125;1081
2021-03-14;1082;Midtjylland;203;1082
2021-03-14;1083;Syddanmark;1914;1083
2021-03-14;1084;Hovedstaden;3128;1084
2021-03-14;1085;Sjælland;1627;1085
2021-03-15;1081;Nordjylland;1655;1081
2021-03-15;1082;Midtjylland;2678;1082
2021-03-15;1083;Syddanmark;1758;1083
2021-03-15;1084;Hovedstaden;2668;1084
2021-03-15;1085;Sjælland;715;1085
2021-03-16;1081;Nordjylland;54;1081
2021-03-16;1082;Midtjylland;3382;1082
2021-03-16;1083;Syddanmark;1388;1083
2021-03-16;1084;Hovedstaden;3365;1084
2021-03-16;1085;Sjælland;855;1085
2021-03-17;1081;Nordjylland;48;1081
2021-03-17;1082;Midtjylland;2711;1082
2021-03-17;1083;Syddanmark;986;1083
2021-03-17;1084;Hovedstaden;4190;1084
2021-03-17;1085;Sjælland;809;1085
2021-03-18;1081;Nordjylland;109;1081
2021-03-18;1082;Midtjylland;1108;1082
2021-03-18;1083;Syddanmark;980;1083
2021-03-18;1084;Hovedstaden;4212;1084
2021-03-18;1085;Sjælland;536;1085
2021-03-19;1081;Nordjylland;541;1081
2021-03-19;1082;Midtjylland;2948;1082
2021-03-19;1083;Syddanmark;3688;1083
2021-03-19;1084;Hovedstaden;1136;1084
2021-03-19;1085;Sjælland;2986;1085
2021-03-20;1081;Nordjylland;1664;1081
2021-03-20;1082;Midtjylland;31;1082
