"dato";"kommunenavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-15;Kolding;K;38991;38417;29044;38992;38435;29040;-1;-18;4
2022-03-15;Kolding;M;38001;37321;27251;38002;37402;27245;-1;-81;6
2022-03-15;Vejle;K;49433;48700;37002;49436;48727;36995;-3;-27;7
2022-03-15;Vejle;M;48601;47717;34893;48602;47790;34889;-1;-73;4
2022-03-15;Herning;K;37454;36898;28317;37457;36913;28304;-3;-15;13
2022-03-15;Herning;M;37219;36580;27066;37219;36620;27053;0;-40;13
2022-03-15;Holstebro;K;24969;24594;19105;24970;24601;19103;-1;-7;2
2022-03-15;Holstebro;M;24476;24033;17814;24476;24056;17812;0;-23;2
2022-03-15;Lemvig;K;8171;8086;6514;8172;8084;6505;-1;2;9
2022-03-15;Lemvig;M;8363;8250;6505;8363;8255;6489;0;-5;16
2022-03-15;Struer;K;8950;8823;7050;8951;8826;7051;-1;-3;-1
2022-03-15;Struer;M;8904;8758;6672;8905;8765;6672;-1;-7;0
2022-03-15;Syddjurs;K;18627;18350;14685;18627;18358;14678;0;-8;7
2022-03-15;Syddjurs;M;18349;18074;14099;18348;18088;14096;1;-14;3
2022-03-15;Norddjurs;K;15441;15243;12384;15446;15244;12383;-5;-1;1
2022-03-15;Norddjurs;M;15821;15552;12142;15825;15573;12139;-4;-21;3
2022-03-15;Favrskov;K;20761;20429;15620;20763;20435;15619;-2;-6;1
2022-03-15;Favrskov;M;20654;20303;15071;20656;20323;15068;-2;-20;3
2022-03-15;Odder;K;10186;10052;8143;10186;10052;8143;0;0;0
2022-03-15;Odder;M;9799;9644;7525;9801;9653;7527;-2;-9;-2
2022-03-15;Randers;K;41837;41198;32020;41839;41208;32006;-2;-10;14
2022-03-15;Randers;M;40718;40007;29964;40718;40051;29958;0;-44;6
2022-03-15;Silkeborg;K;41025;40364;31152;41027;40370;31149;-2;-6;3
2022-03-15;Silkeborg;M;40018;39286;29577;40019;39326;29576;-1;-40;1
2022-03-15;Samsø;K;1636;1620;1372;1635;1620;1372;1;0;0
2022-03-15;Samsø;M;1604;1589;1295;1604;1589;1295;0;0;0
2022-03-15;Skanderborg;K;27330;26864;20675;27332;26867;20673;-2;-3;2
2022-03-15;Skanderborg;M;26600;26073;19556;26602;26098;19552;-2;-25;4
2022-03-15;Århus;K;151547;148925;116044;151558;149043;115997;-11;-118;47
2022-03-15;Århus;M;144143;141024;103960;144154;141361;103905;-11;-337;55
2022-03-15;Ikast-Brande;K;17084;16842;12822;17088;16852;12822;-4;-10;0
2022-03-15;Ikast-Brande;M;17286;17016;12534;17288;17041;12533;-2;-25;1
2022-03-15;Ringkøbing-Skjern;K;23292;22954;17932;23292;22965;17935;0;-11;-3
2022-03-15;Ringkøbing-Skjern;M;23599;23219;17528;23601;23244;17526;-2;-25;2
2022-03-15;Hedensted;K;19580;19345;15109;19584;19350;15107;-4;-5;2
2022-03-15;Hedensted;M;19965;19675;14731;19969;19698;14731;-4;-23;0
2022-03-15;Morsø;K;8512;8362;6622;8511;8363;6621;1;-1;1
2022-03-15;Morsø;M;8522;8362;6357;8522;8369;6357;0;-7;0
2022-03-15;Skive;K;19207;18953;14850;19205;18953;14849;2;0;1
2022-03-15;Skive;M;19551;19258;14673;19552;19267;14670;-1;-9;3
2022-03-15;Thisted;K;18210;17956;14229;18213;17961;14230;-3;-5;-1
2022-03-15;Thisted;M;18089;17784;13603;18090;17796;13604;-1;-12;-1
2022-03-15;Viborg;K;41090;40499;31226;41091;40512;31208;-1;-13;18
2022-03-15;Viborg;M;40901;40183;29703;40904;40223;29685;-3;-40;18
2022-03-15;Brønderslev;K;15245;15005;11648;15245;15009;11647;0;-4;1
2022-03-15;Brønderslev;M;15289;15003;11116;15290;15017;11117;-1;-14;-1
2022-03-15;Frederikshavn;K;25199;24888;20085;25201;24894;20087;-2;-6;-2
2022-03-15;Frederikshavn;M;24936;24506;19068;24937;24537;19069;-1;-31;-1
2022-03-15;Vesthimmerland;K;15003;14789;11642;15004;14798;11641;-1;-9;1
2022-03-15;Vesthimmerland;M;15041;14780;11164;15042;14797;11164;-1;-17;0
2022-03-15;Læsø;K;770;761;657;770;761;657;0;0;0
2022-03-15;Læsø;M;766;759;656;767;760;656;-1;-1;0
2022-03-15;Rebild;K;12654;12442;9510;12654;12446;9510;0;-4;0
2022-03-15;Rebild;M;12807;12551;9367;12808;12568;9368;-1;-17;-1
2022-03-15;Mariagerfjord;K;17413;17108;13567;17415;17113;13569;-2;-5;-2
2022-03-15;Mariagerfjord;M;17807;17456;13311;17808;17476;13311;-1;-20;0
2022-03-15;Jammerbugt;K;16115;15841;12542;16119;15853;12545;-4;-12;-3
2022-03-15;Jammerbugt;M;16167;15858;12083;16167;15871;12083;0;-13;0
2022-03-15;Aalborg;K;93136;91636;71194;93140;91680;71190;-4;-44;4
2022-03-15;Aalborg;M;93125;91171;67209;93134;91397;67214;-9;-226;-5
2022-03-15;Hjørring;K;27476;27115;21436;27477;27121;21437;-1;-6;-1
2022-03-15;Hjørring;M;26950;26491;19949;26955;26512;19953;-5;-21;-4
