"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-12-05;30-39;Syddanmark;90;126
2021-12-05;40-49;Syddanmark;39;73
2021-12-05;50-59;Syddanmark;15;40
2021-12-05;60-69;Syddanmark;4;20
2021-12-05;70-79;Syddanmark;1;7
2021-12-05;80-89;Syddanmark;1;0
2021-12-05;0-9;Hovedstaden;304;0
2021-12-05;10-19;Hovedstaden;2917;69
2021-12-05;20-29;Hovedstaden;105;80
2021-12-05;30-39;Hovedstaden;85;81
2021-12-05;40-49;Hovedstaden;27;29
2021-12-05;50-59;Hovedstaden;21;16
2021-12-05;60-69;Hovedstaden;4;8
2021-12-05;70-79;Hovedstaden;4;2
;;NA;0;1
2021-12-05;0-9;Sjælland;152;0
2021-12-05;10-19;Sjælland;580;179
2021-12-05;20-29;Sjælland;81;82
2021-12-05;30-39;Sjælland;56;89
2021-12-05;40-49;Sjælland;28;47
2021-12-05;50-59;Sjælland;19;28
2021-12-05;60-69;Sjælland;5;9
2021-12-05;70-79;Sjælland;2;2
;;NA;0;1
2021-12-06;0-9;Nordjylland;65;0
2021-12-06;10-19;Nordjylland;298;95
2021-12-06;20-29;Nordjylland;80;111
2021-12-06;30-39;Nordjylland;62;72
2021-12-06;40-49;Nordjylland;21;36
2021-12-06;50-59;Nordjylland;16;13
;;NA;0;4
2021-12-06;70-79;Nordjylland;1;0
2021-12-06;80-89;Nordjylland;3;0
2021-12-06;0-9;Midtjylland;490;0
2021-12-06;10-19;Midtjylland;847;365
2021-12-06;20-29;Midtjylland;215;397
2021-12-06;30-39;Midtjylland;163;311
2021-12-06;40-49;Midtjylland;55;163
2021-12-06;50-59;Midtjylland;33;71
2021-12-06;60-69;Midtjylland;17;37
2021-12-06;70-79;Midtjylland;7;16
2021-12-06;80-89;Midtjylland;1;5
2021-12-06;0-9;Syddanmark;910;0
2021-12-06;10-19;Syddanmark;1104;236
2021-12-06;20-29;Syddanmark;145;213
2021-12-06;30-39;Syddanmark;115;179
2021-12-06;40-49;Syddanmark;46;123
2021-12-06;50-59;Syddanmark;33;75
2021-12-06;60-69;Syddanmark;10;23
2021-12-06;70-79;Syddanmark;2;8
2021-12-06;80-89;Syddanmark;2;2
2021-12-06;0-9;Hovedstaden;401;0
2021-12-06;10-19;Hovedstaden;690;369
2021-12-06;20-29;Hovedstaden;266;518
2021-12-06;30-39;Hovedstaden;227;476
2021-12-06;40-49;Hovedstaden;119;194
2021-12-06;50-59;Hovedstaden;47;82
2021-12-06;60-69;Hovedstaden;12;29
2021-12-06;70-79;Hovedstaden;6;14
2021-12-06;80-89;Hovedstaden;2;3
2021-12-06;90+;Hovedstaden;1;0
2021-12-06;0-9;Sjælland;244;0
2021-12-06;10-19;Sjælland;583;173
2021-12-06;20-29;Sjælland;92;131
2021-12-06;30-39;Sjælland;68;114
