"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-01-21;40-64;Sjælland;60;449
2021-01-21;65-79;Sjælland;12;166
2021-01-21;80+;Sjælland;60;268
;;NA;0;3
2021-01-22;20-39;Nordjylland;57;482
2021-01-22;40-64;Nordjylland;71;1078
2021-01-22;65-79;Nordjylland;17;239
2021-01-22;80+;Nordjylland;10;450
2021-01-22;16-19;Midtjylland;1;4
2021-01-22;20-39;Midtjylland;15;97
2021-01-22;40-64;Midtjylland;32;332
2021-01-22;65-79;Midtjylland;51;211
2021-01-22;80+;Midtjylland;58;351
;;NA;0;3
2021-01-22;20-39;Syddanmark;30;249
2021-01-22;40-64;Syddanmark;52;717
2021-01-22;65-79;Syddanmark;18;167
2021-01-22;80+;Syddanmark;39;212
2021-01-22;16-19;Hovedstaden;1;0
2021-01-22;20-39;Hovedstaden;19;37
2021-01-22;40-64;Hovedstaden;28;38
2021-01-22;65-79;Hovedstaden;4;7
2021-01-22;80+;Hovedstaden;2;0
2021-01-22;16-19;Sjælland;1;1
2021-01-22;20-39;Sjælland;31;115
2021-01-22;40-64;Sjælland;77;298
2021-01-22;65-79;Sjælland;10;27
2021-01-22;80+;Sjælland;10;2
;;NA;0;1
2021-01-23;20-39;Nordjylland;5;137
2021-01-23;40-64;Nordjylland;11;537
2021-01-23;65-79;Nordjylland;9;162
2021-01-23;80+;Nordjylland;22;333
2021-01-23;20-39;Midtjylland;7;50
2021-01-23;40-64;Midtjylland;23;219
2021-01-23;65-79;Midtjylland;24;189
2021-01-23;80+;Midtjylland;29;405
2021-01-23;20-39;Syddanmark;2;11
2021-01-23;40-64;Syddanmark;1;25
;;NA;0;30
;;NA;0;79
;;NA;0;11
2021-01-23;20-39;Hovedstaden;91;497
2021-01-23;40-64;Hovedstaden;226;1354
2021-01-23;65-79;Hovedstaden;104;719
2021-01-23;80+;Hovedstaden;87;1087
2021-01-23;20-39;Sjælland;5;73
2021-01-23;40-64;Sjælland;14;266
2021-01-23;65-79;Sjælland;8;26
;;NA;0;4
;;NA;0;3
2021-01-24;20-39;Nordjylland;4;70
2021-01-24;40-64;Nordjylland;7;215
