"1. stik dato";"regionskode_current";"Regionsnavn";"Antal 1.stik";"regionskode_num"
2021-02-02;1081;Nordjylland;17;1081
2021-02-02;1082;Midtjylland;77;1082
2021-02-02;1083;Syddanmark;475;1083
2021-02-02;1084;Hovedstaden;67;1084
2021-02-02;1085;Sjælland;1207;1085
2021-02-03;1081;Nordjylland;6;1081
2021-02-03;1082;Midtjylland;24;1082
2021-02-03;1083;Syddanmark;389;1083
2021-02-03;1084;Hovedstaden;61;1084
2021-02-03;1085;Sjælland;874;1085
2021-02-04;1081;Nordjylland;787;1081
2021-02-04;1082;Midtjylland;46;1082
2021-02-04;1083;Syddanmark;321;1083
2021-02-04;1084;Hovedstaden;57;1084
2021-02-04;1085;Sjælland;85;1085
2021-02-05;1081;Nordjylland;722;1081
2021-02-05;1082;Midtjylland;287;1082
2021-02-05;1083;Syddanmark;208;1083
2021-02-05;1084;Hovedstaden;40;1084
2021-02-05;1085;Sjælland;239;1085
2021-02-06;1081;Nordjylland;336;1081
2021-02-06;1082;Midtjylland;16;1082
2021-02-06;1083;Syddanmark;65;1083
2021-02-06;1084;Hovedstaden;316;1084
2021-02-06;1085;Sjælland;205;1085
2021-02-07;1081;Nordjylland;659;1081
2021-02-07;1082;Midtjylland;19;1082
2021-02-07;1083;Syddanmark;97;1083
2021-02-07;1084;Hovedstaden;109;1084
2021-02-07;1085;Sjælland;839;1085
2021-02-08;1081;Nordjylland;529;1081
2021-02-08;1082;Midtjylland;221;1082
2021-02-08;1083;Syddanmark;532;1083
2021-02-08;1084;Hovedstaden;915;1084
2021-02-08;1085;Sjælland;128;1085
2021-02-09;1081;Nordjylland;72;1081
2021-02-09;1082;Midtjylland;502;1082
2021-02-09;1083;Syddanmark;816;1083
2021-02-09;1084;Hovedstaden;1429;1084
2021-02-09;1085;Sjælland;511;1085
2021-02-10;1081;Nordjylland;55;1081
2021-02-10;1082;Midtjylland;753;1082
2021-02-10;1083;Syddanmark;969;1083
2021-02-10;1084;Hovedstaden;519;1084
2021-02-10;1085;Sjælland;874;1085
2021-02-11;1081;Nordjylland;463;1081
2021-02-11;1082;Midtjylland;614;1082
2021-02-11;1083;Syddanmark;1206;1083
2021-02-11;1084;Hovedstaden;1561;1084
2021-02-11;1085;Sjælland;1729;1085
2021-02-12;1081;Nordjylland;1264;1081
2021-02-12;1082;Midtjylland;4442;1082
2021-02-12;1083;Syddanmark;1840;1083
2021-02-12;1084;Hovedstaden;1489;1084
2021-02-12;1085;Sjælland;2699;1085
2021-02-13;1081;Nordjylland;12;1081
2021-02-13;1082;Midtjylland;2539;1082
2021-02-13;1083;Syddanmark;1087;1083
2021-02-13;1084;Hovedstaden;70;1084
2021-02-13;1085;Sjælland;2558;1085
2021-02-14;1081;Nordjylland;249;1081
2021-02-14;1082;Midtjylland;1587;1082
2021-02-14;1083;Syddanmark;2078;1083
2021-02-14;1084;Hovedstaden;279;1084
2021-02-14;1085;Sjælland;1765;1085
