"Første vacc. dato";"regionskode_current";"Regionsnavn";"Antal første vacc.";"regionskode_num"
2021-02-26;1085;Sjælland;4231;1085
2021-02-27;1081;Nordjylland;11;1081
2021-02-27;1082;Midtjylland;679;1082
2021-02-27;1083;Syddanmark;1921;1083
2021-02-27;1084;Hovedstaden;3039;1084
2021-02-27;1085;Sjælland;853;1085
2021-02-28;1081;Nordjylland;2175;1081
2021-02-28;1082;Midtjylland;970;1082
2021-02-28;1083;Syddanmark;1982;1083
2021-02-28;1084;Hovedstaden;4638;1084
2021-02-28;1085;Sjælland;887;1085
2021-03-01;1081;Nordjylland;2609;1081
2021-03-01;1082;Midtjylland;4369;1082
2021-03-01;1083;Syddanmark;3719;1083
2021-03-01;1084;Hovedstaden;6095;1084
2021-03-01;1085;Sjælland;2511;1085
2021-03-02;1081;Nordjylland;753;1081
2021-03-02;1082;Midtjylland;4733;1082
2021-03-02;1083;Syddanmark;2978;1083
2021-03-02;1084;Hovedstaden;6636;1084
2021-03-02;1085;Sjælland;1359;1085
2021-03-03;1081;Nordjylland;734;1081
2021-03-03;1082;Midtjylland;2965;1082
2021-03-03;1083;Syddanmark;2899;1083
2021-03-03;1084;Hovedstaden;4479;1084
2021-03-03;1085;Sjælland;1792;1085
2021-03-04;1081;Nordjylland;506;1081
2021-03-04;1082;Midtjylland;3668;1082
2021-03-04;1083;Syddanmark;3026;1083
2021-03-04;1084;Hovedstaden;8077;1084
2021-03-04;1085;Sjælland;1998;1085
2021-03-05;1081;Nordjylland;3874;1081
2021-03-05;1082;Midtjylland;2087;1082
2021-03-05;1083;Syddanmark;3965;1083
2021-03-05;1084;Hovedstaden;4658;1084
2021-03-05;1085;Sjælland;1754;1085
2021-03-06;1081;Nordjylland;2131;1081
2021-03-06;1082;Midtjylland;1210;1082
2021-03-06;1083;Syddanmark;3098;1083
2021-03-06;1084;Hovedstaden;6055;1084
2021-03-06;1085;Sjælland;1906;1085
2021-03-07;1081;Nordjylland;1336;1081
2021-03-07;1082;Midtjylland;227;1082
2021-03-07;1083;Syddanmark;2566;1083
2021-03-07;1084;Hovedstaden;5990;1084
2021-03-07;1085;Sjælland;1646;1085
2021-03-08;1081;Nordjylland;137;1081
2021-03-08;1082;Midtjylland;3962;1082
2021-03-08;1083;Syddanmark;2836;1083
2021-03-08;1084;Hovedstaden;1272;1084
2021-03-08;1085;Sjælland;1214;1085
2021-03-09;1081;Nordjylland;643;1081
2021-03-09;1082;Midtjylland;4129;1082
2021-03-09;1083;Syddanmark;2083;1083
2021-03-09;1084;Hovedstaden;2481;1084
2021-03-09;1085;Sjælland;1409;1085
2021-03-10;1081;Nordjylland;1153;1081
2021-03-10;1082;Midtjylland;2895;1082
2021-03-10;1083;Syddanmark;2989;1083
2021-03-10;1084;Hovedstaden;3018;1084
2021-03-10;1085;Sjælland;1829;1085
2021-03-11;1081;Nordjylland;928;1081
2021-03-11;1082;Midtjylland;1010;1082
2021-03-11;1083;Syddanmark;1141;1083
2021-03-11;1084;Hovedstaden;599;1084
2021-03-11;1085;Sjælland;761;1085
2021-03-12;1081;Nordjylland;262;1081
2021-03-12;1082;Midtjylland;748;1082
2021-03-12;1083;Syddanmark;980;1083
2021-03-12;1084;Hovedstaden;992;1084
2021-03-12;1085;Sjælland;272;1085
2021-03-13;1081;Nordjylland;145;1081
2021-03-13;1082;Midtjylland;344;1082
2021-03-13;1083;Syddanmark;1220;1083
2021-03-13;1084;Hovedstaden;2243;1084
2021-03-13;1085;Sjælland;502;1085
2021-03-14;1081;Nordjylland;13;1081
2021-03-14;1082;Midtjylland;30;1082
2021-03-14;1083;Syddanmark;875;1083
2021-03-14;1084;Hovedstaden;89;1084
2021-03-14;1085;Sjælland;205;1085
2021-03-15;1081;Nordjylland;159;1081
2021-03-15;1082;Midtjylland;975;1082
2021-03-15;1083;Syddanmark;1195;1083
2021-03-15;1084;Hovedstaden;336;1084
2021-03-15;1085;Sjælland;101;1085
2021-03-16;1081;Nordjylland;1271;1081
2021-03-16;1082;Midtjylland;1626;1082
2021-03-16;1083;Syddanmark;1137;1083
2021-03-16;1084;Hovedstaden;891;1084
2021-03-16;1085;Sjælland;1758;1085
2021-03-17;1081;Nordjylland;1405;1081
2021-03-17;1082;Midtjylland;3674;1082
2021-03-17;1083;Syddanmark;2026;1083
2021-03-17;1084;Hovedstaden;1918;1084
2021-03-17;1085;Sjælland;1555;1085
2021-03-18;1081;Nordjylland;1636;1081
2021-03-18;1082;Midtjylland;3425;1082
2021-03-18;1083;Syddanmark;1777;1083
2021-03-18;1084;Hovedstaden;5812;1084
2021-03-18;1085;Sjælland;1801;1085
2021-03-19;1081;Nordjylland;1108;1081
2021-03-19;1082;Midtjylland;1785;1082
2021-03-19;1083;Syddanmark;1546;1083
2021-03-19;1084;Hovedstaden;2950;1084
2021-03-19;1085;Sjælland;349;1085
2021-03-20;1081;Nordjylland;12;1081
2021-03-20;1082;Midtjylland;866;1082
2021-03-20;1083;Syddanmark;902;1083
2021-03-20;1084;Hovedstaden;177;1084
2021-03-20;1085;Sjælland;1003;1085
2021-03-21;1081;Nordjylland;2;1081
2021-03-21;1082;Midtjylland;619;1082
2021-03-21;1083;Syddanmark;741;1083
2021-03-21;1084;Hovedstaden;2244;1084
2021-03-21;1085;Sjælland;1318;1085
2021-03-22;1081;Nordjylland;132;1081
