"2020M12D17";"I alt";0;0;0;0;2;0;0;0;1;1;4;1;7;13;18;25;29;36;25;15;1
"2020M12D18";"I alt";0;0;0;0;0;0;0;2;1;2;3;7;7;20;20;31;27;26;23;9;1
"2020M12D19";"I alt";0;0;0;0;0;0;1;1;2;2;3;4;9;13;29;20;28;35;23;7;5
"2020M12D20";"I alt";1;0;0;0;0;1;0;1;2;1;5;2;14;11;18;26;24;31;23;8;3
"2020M12D21";"I alt";0;0;0;0;0;0;0;0;0;1;2;4;8;14;23;22;28;36;25;9;1
"2020M12D22";"I alt";1;0;0;0;1;1;0;3;2;6;1;4;12;10;27;28;22;34;18;10;4
"2020M12D23";"I alt";0;0;0;0;0;0;0;1;1;1;3;4;11;15;29;25;28;35;18;10;2
"2020M12D24";"I alt";1;0;0;0;0;0;0;0;1;1;2;3;9;17;17;29;26;28;32;12;3
"2020M12D25";"I alt";0;0;0;0;0;0;1;1;0;1;1;3;10;14;22;24;28;34;22;5;0
"2020M12D26";"I alt";0;0;0;0;1;1;0;0;0;3;2;3;6;16;17;20;27;38;18;8;3
"2020M12D27";"I alt";0;0;0;0;0;0;0;0;0;2;1;10;5;10;13;21;39;27;20;9;5
"2020M12D28";"I alt";0;0;0;0;0;0;0;0;4;2;3;4;8;12;17;28;35;31;21;4;3
"2020M12D29";"I alt";0;0;0;0;0;0;0;0;1;1;3;3;7;11;24;28;20;39;26;14;2
"2020M12D30";"I alt";0;0;0;0;0;1;0;0;2;1;7;7;7;15;14;25;36;40;21;8;1
"2020M12D31";"I alt";0;0;1;1;0;1;0;0;2;1;5;5;12;14;18;24;34;35;31;10;4
"2021M01D01";"I alt";1;0;0;0;0;0;0;0;2;3;2;3;11;16;22;29;30;34;32;8;3
"2021M01D02";"I alt";0;0;0;0;0;1;0;3;0;1;5;6;9;10;24;30;20;25;18;12;2
"2021M01D03";"I alt";0;0;0;0;0;1;0;0;2;1;1;1;3;19;19;16;22;35;25;10;5
"2021M01D04";"I alt";0;0;0;0;0;1;0;1;0;2;3;5;8;12;18;23;31;27;18;14;1
"2021M01D05";"I alt";1;0;0;0;0;0;0;1;1;4;3;4;8;9;20;28;27;23;24;10;1
"2021M01D06";"I alt";2;0;0;0;0;0;1;0;1;2;7;6;11;16;19;33;27;26;26;9;2
"2021M01D07";"I alt";2;0;0;1;0;0;0;1;1;4;1;6;16;11;19;16;38;37;23;9;3
"2021M01D08";"I alt";1;0;0;0;0;0;0;1;0;0;6;5;13;14;20;28;31;28;21;8;0
"2021M01D09";"I alt";0;0;0;0;1;0;0;1;1;1;1;5;10;12;20;29;35;33;25;6;3
"2021M01D10";"I alt";0;0;0;0;1;0;0;2;2;2;3;5;8;13;19;23;32;29;19;9;2
"2021M01D11";"I alt";0;0;0;0;0;1;0;0;1;1;3;9;7;12;27;33;27;42;15;13;0
"2021M01D12";"I alt";0;0;0;0;0;0;0;0;2;1;3;7;11;14;24;32;40;28;21;14;1
"2021M01D13";"I alt";1;0;0;0;1;0;0;1;0;2;4;4;2;17;19;22;19;25;25;6;4
"2021M01D14";"I alt";2;0;0;0;1;1;0;0;0;0;5;5;8;13;14;27;29;32;30;13;2
"2021M01D15";"I alt";0;0;0;0;0;0;0;3;0;0;2;3;11;14;13;25;19;22;19;10;3
"2021M01D16";"I alt";0;0;0;0;0;0;1;1;2;2;2;9;10;12;27;21;29;33;22;10;2
"2021M01D17";"I alt";1;0;0;0;1;0;0;0;1;0;2;3;9;16;17;30;28;28;19;6;2
"2021M01D18";"I alt";1;0;0;0;0;0;0;1;2;2;4;2;10;11;15;29;30;31;19;8;1
"2021M01D19";"I alt";0;0;0;0;1;0;0;0;1;3;1;8;6;16;23;29;32;37;23;7;1
"2021M01D20";"I alt";0;0;0;1;0;0;1;0;0;2;2;3;7;16;35;26;35;37;24;12;0
"2021M01D21";"I alt";0;0;0;0;0;2;0;2;2;1;3;6;12;14;20;27;34;27;20;13;3
"2021M01D22";"I alt";1;0;0;0;0;0;0;1;1;0;1;6;7;13;22;23;35;36;25;6;2
"2021M01D23";"I alt";1;0;0;0;1;1;0;0;1;0;6;1;8;4;24;26;24;34;21;18;2
"2021M01D24";"I alt";0;0;0;0;0;0;2;0;0;0;0;6;10;11;12;29;32;36;23;13;3
"2021M01D25";"I alt";0;0;0;1;1;0;1;1;1;2;5;7;6;16;28;20;27;34;25;9;0
"2021M01D26";"I alt";0;0;0;1;1;0;1;2;0;0;3;2;6;14;21;19;24;33;27;14;3
"2021M01D27";"I alt";1;0;0;0;0;0;1;1;1;0;1;10;13;20;12;19;27;29;21;10;3
"2021M01D28";"I alt";0;0;0;0;0;1;0;2;0;2;2;6;10;8;29;28;29;30;18;10;2
"2021M01D29";"I alt";1;0;0;0;1;0;1;0;1;3;3;7;7;16;23;32;31;33;21;7;3
