Kommune;Population;Year;Quarter
Vejle;115748;2020;1
Vejle;116120;2020;2
Vejle;116468;2020;3
Vejle;116665;2020;4
Vejle;116992;2021;1
Vejle;117541;2021;2
Vejle;118028;2021;3
Vejle;118364;2021;4
Vejle;119060;2022;1
Aabenraa;58761;2020;1
Aabenraa;58694;2020;2
Aabenraa;58735;2020;3
Aabenraa;58515;2020;4
Aabenraa;58526;2021;1
Aabenraa;58587;2021;2
Aabenraa;58518;2021;3
Aabenraa;58595;2021;4
Aabenraa;58693;2022;1
Favrskov;48397;2020;1
Favrskov;48415;2020;2
Favrskov;48393;2020;3
Favrskov;48294;2020;4
Favrskov;48381;2021;1
Favrskov;48493;2021;2
Favrskov;48630;2021;3
Favrskov;48746;2021;4
Favrskov;48880;2022;1
Hedensted;46722;2020;1
Hedensted;46734;2020;2
Hedensted;46731;2020;3
Hedensted;46690;2020;4
Hedensted;46773;2021;1
Hedensted;46876;2021;2
Hedensted;47005;2021;3
Hedensted;47047;2021;4
Hedensted;47099;2022;1
Horsens;90966;2020;1
Horsens;91142;2020;2
Horsens;91469;2020;3
Horsens;91764;2020;4
Horsens;92229;2021;1
Horsens;92554;2021;2
Horsens;93093;2021;3
Horsens;93905;2021;4
Horsens;94443;2022;1
Norddjurs;37089;2020;1
Norddjurs;36996;2020;2
Norddjurs;36994;2020;3
Norddjurs;36906;2020;4
Norddjurs;36943;2021;1
Norddjurs;36974;2021;2
Norddjurs;36977;2021;3
Norddjurs;37022;2021;4
Norddjurs;36921;2022;1
Odder;22844;2020;1
Odder;22918;2020;2
Odder;22888;2020;3
Odder;22917;2020;4
Odder;22979;2021;1
Odder;23028;2021;2
Odder;23091;2021;3
Odder;23206;2021;4
Odder;23304;2022;1
Randers;97805;2020;1
Randers;97945;2020;2
Randers;98122;2020;3
Randers;98026;2020;4
Randers;98190;2021;1
Randers;98347;2021;2
Randers;98549;2021;3
Randers;98776;2021;4
Randers;98988;2022;1
Samsø;3657;2020;1
Samsø;3636;2020;2
Samsø;3651;2020;3
Samsø;3666;2020;4
Samsø;3682;2021;1
Samsø;3694;2021;2
Samsø;3697;2021;3
Samsø;3707;2021;4
Samsø;3716;2022;1
Silkeborg;94026;2020;1
Silkeborg;94319;2020;2
Silkeborg;94648;2020;3
Silkeborg;94892;2020;4
Silkeborg;95488;2021;1
Silkeborg;95980;2021;2
Silkeborg;96409;2021;3
Silkeborg;96779;2021;4
Silkeborg;97358;2022;1
Skanderborg;62678;2020;1
Skanderborg;62935;2020;2
Skanderborg;63070;2020;3
Skanderborg;63144;2020;4
Skanderborg;63390;2021;1
Skanderborg;63455;2021;2
Skanderborg;63791;2021;3
Skanderborg;63977;2021;4
Skanderborg;64318;2022;1
Syddjurs;42962;2020;1
Syddjurs;43087;2020;2
Syddjurs;43107;2020;3
Syddjurs;43231;2020;4
Syddjurs;43168;2021;1
Syddjurs;43310;2021;2
Syddjurs;43441;2021;3
Syddjurs;43629;2021;4
Syddjurs;43596;2022;1
Aarhus;349983;2020;1
Aarhus;349956;2020;2
Aarhus;349433;2020;3
Aarhus;353445;2020;4
Aarhus;352751;2021;1
Aarhus;352348;2021;2
Aarhus;352315;2021;3
Aarhus;355458;2021;4
Aarhus;355238;2022;1
Herning;89127;2020;1
Herning;89272;2020;2
Herning;89411;2020;3
Herning;89240;2020;4
Herning;89238;2021;1
Herning;89320;2021;2
Herning;89332;2021;3
Herning;89196;2021;4
Herning;89230;2022;1
Holstebro;58591;2020;1
Holstebro;58662;2020;2
Holstebro;58685;2020;3
Holstebro;58617;2020;4
Holstebro;58662;2021;1
Holstebro;58686;2021;2
Holstebro;58618;2021;3
Holstebro;58513;2021;4
Holstebro;58553;2022;1
Ikast-Brande;41369;2020;1
Ikast-Brande;41385;2020;2
Ikast-Brande;41395;2020;3
Ikast-Brande;41376;2020;4
Ikast-Brande;41473;2021;1
Ikast-Brande;41567;2021;2
Ikast-Brande;41832;2021;3
Ikast-Brande;41878;2021;4
Ikast-Brande;41885;2022;1
Lemvig;19722;2020;1
Lemvig;19690;2020;2
Lemvig;19662;2020;3
Lemvig;19594;2020;4
Lemvig;19607;2021;1
Lemvig;19560;2021;2
Lemvig;19519;2021;3
Lemvig;19369;2021;4
Lemvig;19398;2022;1
Ringkøbing-Skjern;56594;2020;1
Ringkøbing-Skjern;56460;2020;2
Ringkøbing-Skjern;56366;2020;3
Ringkøbing-Skjern;56157;2020;4
Ringkøbing-Skjern;56182;2021;1
Ringkøbing-Skjern;56155;2021;2
Ringkøbing-Skjern;56239;2021;3
Ringkøbing-Skjern;56195;2021;4
Ringkøbing-Skjern;56203;2022;1
Skive;45851;2020;1
Skive;45864;2020;2
Skive;45728;2020;3
Skive;45499;2020;4
Skive;45425;2021;1
Skive;45409;2021;2
Skive;45226;2021;3
Skive;45097;2021;4
Skive;45078;2022;1
Struer;21036;2020;1
Struer;20990;2020;2
Struer;20951;2020;3
Struer;20869;2020;4
Struer;20808;2021;1
Struer;20820;2021;2
Struer;20829;2021;3
Struer;20795;2021;4
Struer;20802;2022;1
Viborg;96921;2020;1
Viborg;96808;2020;2
Viborg;96706;2020;3
Viborg;96539;2020;4
Viborg;96679;2021;1
Viborg;96669;2021;2
Viborg;96696;2021;3
Viborg;96826;2021;4
Viborg;96847;2022;1
Brønderslev;36304;2020;1
Brønderslev;36346;2020;2
Brønderslev;36295;2020;3
Brønderslev;36183;2020;4
Brønderslev;36177;2021;1
Brønderslev;36140;2021;2
Brønderslev;36169;2021;3
Brønderslev;36187;2021;4
Brønderslev;36194;2022;1
Frederikshavn;59654;2020;1
Frederikshavn;59501;2020;2
Frederikshavn;59353;2020;3
Frederikshavn;59187;2020;4
Frederikshavn;59039;2021;1
Frederikshavn;58933;2021;2
Frederikshavn;59023;2021;3
Frederikshavn;58883;2021;4
Frederikshavn;58878;2022;1
Hjørring;64483;2020;1
Hjørring;64427;2020;2
Hjørring;64450;2020;3
Hjørring;64213;2020;4
Hjørring;64155;2021;1
Hjørring;64099;2021;2
Hjørring;64017;2021;3
Hjørring;63861;2021;4
Hjørring;63839;2022;1
Jammerbugt;38324;2020;1
Jammerbugt;38397;2020;2
Jammerbugt;38357;2020;3
Jammerbugt;38288;2020;4
Jammerbugt;38175;2021;1
Jammerbugt;38166;2021;2
Jammerbugt;38200;2021;3
Jammerbugt;38172;2021;4
Jammerbugt;38187;2022;1
Læsø;1786;2020;1
Læsø;1787;2020;2
Læsø;1776;2020;3
Læsø;1767;2020;4
Læsø;1764;2021;1
Læsø;1776;2021;2
Læsø;1785;2021;3
Læsø;1795;2021;4
Læsø;1769;2022;1
Mariagerfjord;41800;2020;1
Mariagerfjord;41743;2020;2
Mariagerfjord;41687;2020;3
Mariagerfjord;41543;2020;4
Mariagerfjord;41536;2021;1
Mariagerfjord;41584;2021;2
Mariagerfjord;41572;2021;3
Mariagerfjord;41562;2021;4
Mariagerfjord;41662;2022;1
Morsø;20247;2020;1
Morsø;20196;2020;2
Morsø;20214;2020;3
Morsø;20135;2020;4
Morsø;20066;2021;1
Morsø;20078;2021;2
Morsø;20082;2021;3
Morsø;20055;2021;4
Morsø;20068;2022;1
Rebild;30113;2020;1
Rebild;30208;2020;2
Rebild;30359;2020;3
Rebild;30438;2020;4
Rebild;30518;2021;1
Rebild;30504;2021;2
Rebild;30558;2021;3
Rebild;30638;2021;4
Rebild;30646;2022;1
Thisted;43423;2020;1
Thisted;43385;2020;2
Thisted;43383;2020;3
Thisted;43217;2020;4
Thisted;43160;2021;1
Thisted;43126;2021;2
Thisted;43142;2021;3
Thisted;43115;2021;4
Thisted;43089;2022;1
Vesthimmerlands;36727;2020;1
Vesthimmerlands;36659;2020;2
Vesthimmerlands;36647;2020;3
Vesthimmerlands;36458;2020;4
Vesthimmerlands;36362;2021;1
Vesthimmerlands;36343;2021;2
Vesthimmerlands;36379;2021;3
Vesthimmerlands;36342;2021;4
Vesthimmerlands;36326;2022;1
Aalborg;217075;2020;1
Aalborg;217063;2020;2
Aalborg;217316;2020;3
Aalborg;219310;2020;4
Aalborg;219487;2021;1
Aalborg;219573;2021;2
Aalborg;219476;2021;3
Aalborg;221114;2021;4
Aalborg;221082;2022;1
