"Hele landet";"I alt";"Mænd";"70 år";31864;32361;33031;33469;33824;34400;35118;35269;35060;34724;34382;34105;33731;33132;32370;31971;31655;31077;30566;29989;29697;29851;29986;29915;29745;29647;29350;29028
"Hele landet";"I alt";"Mænd";"71 år";28481;29529;30024;30563;31159;31639;32298;32730;33076;33664;34392;34551;34378;33990;33662;33418;33006;32461;31708;31316;30993;30424;29952;29391;29079;29226;29340;29305
"Hele landet";"I alt";"Mænd";"72 år";26417;26789;27116;27316;27816;28846;29318;29825;30385;30848;31483;31907;32307;32982;33683;33811;33641;33235;32933;32700;32285;31749;30988;30609;30296;29767;29295;28727
"Hele landet";"I alt";"Mænd";"73 år";22743;23344;24208;25053;25698;26095;26450;26629;27124;28098;28573;29067;29580;29993;30696;31100;31494;32167;32884;33031;32812;32427;32125;31934;31552;31017;30225;29800
"Hele landet";"I alt";"Mænd";"74 år";21426;21165;21357;21653;22101;22681;23502;24351;24974;25344;25708;25883;26334;27297;27755;28224;28731;29166;29827;30239;30676;31319;32031;32191;31927;31530;31289;31091
"Hele landet";"I alt";"Mænd";"75 år";19723;20384;20522;20827;20700;20453;20676;20944;21395;21965;22772;23575;24196;24549;24902;25029;25475;26419;26849;27358;27805;28247;28891;29329;29762;30373;31013;31173
"Hele landet";"I alt";"Mænd";"76 år";18758;18675;18701;18957;19074;19718;19848;20156;19991;19754;19947;20223;20673;21189;21970;22772;23351;23743;24049;24169;24623;25497;25906;26409;26838;27305;27945;28286
"Hele landet";"I alt";"Mænd";"77 år";17074;17429;17649;17865;18009;17940;18030;18273;18357;18947;19090;19403;19249;18999;19225;19479;19879;20389;21137;21962;22530;22873;23194;23290;23684;24537;24955;25424
"Hele landet";"I alt";"Mænd";"78 år";15684;15796;16066;16072;16347;16701;16870;17107;17269;17175;17207;17484;17595;18112;18283;18565;18425;18201;18433;18681;19073;19586;20301;21091;21633;21966;22259;22332
"Hele landet";"I alt";"Mænd";"79 år";14033;14031;14426;14671;14871;14994;15269;15283;15588;15934;16148;16307;16456;16378;16419;16669;16772;17310;17495;17731;17582;17392;17640;17862;18238;18735;19414;20169
"Hele landet";"I alt";"Mænd";"80 år";12723;12782;12997;13237;13268;13272;13636;13834;14049;14178;14462;14509;14778;15066;15265;15410;15577;15536;15530;15758;15901;16457;16597;16876;16709;16526;16758;16979
"Hele landet";"I alt";"Mænd";"81 år";11310;11735;11873;11887;11914;11948;12156;12413;12450;12457;12798;13008;13194;13318;13600;13620;13875;14178;14377;14555;14712;14647;14694;14925;15015;15514;15656;15881
"Hele landet";"I alt";"Mænd";"82 år";10054;10040;10132;10300;10485;10880;11034;11041;11087;11103;11289;11566;11594;11605;11894;12075;12302;12458;12752;12746;12955;13290;13448;13649;13784;13699;13790;13999
"Hele landet";"I alt";"Mænd";"83 år";9095;9166;9211;9267;9277;9243;9326;9509;9674;10055;10184;10142;10195;10233;10413;10674;10671;10703;11007;11223;11435;11553;11824;11808;11991;12296;12461;12659
"Hele landet";"I alt";"Mænd";"84 år";8050;8016;8116;8221;8266;8365;8405;8454;8476;8450;8517;8706;8885;9168;9252;9208;9281;9324;9502;9768;9753;9814;10093;10266;10513;10637;10887;10905
"Hele landet";"I alt";"Mænd";"85 år";7255;7233;7235;7203;7241;7224;7293;7434;7470;7529;7581;7641;7634;7630;7687;7853;7994;8294;8375;8345;8428;8484;8639;8889;8825;8897;9172;9336
"Hele landet";"I alt";"Mænd";"86 år";6364;6431;6560;6547;6447;6413;6426;6427;6483;6500;6514;6633;6670;6657;6763;6817;6811;6858;6910;7085;7180;7421;7510;7479;7537;7585;7718;7893
"Hele landet";"I alt";"Mænd";"87 år";5264;5306;5286;5454;5594;5675;5754;5695;5645;5597;5613;5605;5658;5632;5656;5743;5782;5840;5957;6020;6027;6039;6092;6227;6289;6495;6618;6564
"Hele landet";"I alt";"Mænd";"88 år";4640;4585;4573;4597;4500;4524;4562;4701;4793;4838;4943;4903;4841;4776;4782;4766;4837;4827;4874;4988;4999;5055;5161;5203;5221;5257;5284;5409
"Hele landet";"I alt";"Mænd";"89 år";3751;3785;3860;3873;3920;3873;3857;3883;3834;3856;3853;4012;4100;4110;4159;4098;4058;4000;4040;4047;4128;4128;4132;4238;4218;4243;4356;4397
"Hele landet";"I alt";"Mænd";"90 år";2983;3018;3024;3087;3087;3136;3241;3233;3248;3193;3192;3256;3195;3175;3176;3290;3348;3373;3423;3415;3353;3307;3356;3341;3419;3419;3400;3466
"Hele landet";"I alt";"Mænd";"91 år";2327;2301;2314;2394;2423;2480;2469;2511;2512;2520;2572;2587;2620;2613;2596;2599;2562;2577;2574;2662;2697;2754;2766;2740;2700;2691;2722;2712
"Hele landet";"I alt";"Mænd";"92 år";1756;1767;1813;1814;1830;1792;1805;1902;1924;1935;1959;1975;1956;1953;2031;2055;2053;2074;2048;2061;2034;2022;2036;2132;2154;2182;2220;2192
"Hele landet";"I alt";"Mænd";"93 år";1405;1325;1316;1323;1295;1332;1419;1401;1399;1377;1373;1447;1474;1468;1460;1468;1502;1522;1600;1622;1604;1611;1599;1600;1564;1559;1567;1651
"Hele landet";"I alt";"Mænd";"94 år";993;1005;1038;1052;1064;1017;990;983;942;961;1053;1046;1035;1001;994;1064;1093;1077;1087;1106;1134;1148;1195;1201;1189;1173;1186;1189
"Hele landet";"I alt";"Mænd";"95 år";691;743;751;739;730;735;756;801;784;743;706;687;690;719;756;725;724;714;726;774;776;782;793;801;814;812;851;851
"Hele landet";"I alt";"Mænd";"96 år";452;443;453;473;477;537;545;530;521;517;547;559;549;504;490;501;487;492;532;506;505;518;507;534;549;554;576;568
"Hele landet";"I alt";"Mænd";"97 år";250;248;272;298;308;290;312;340;338;366;360;356;359;350;357;367;351;336;334;334;326;324;364;344;345;356;332;370
"Hele landet";"I alt";"Mænd";"98 år";187;184;171;173;169;167;167;185;200;203;219;229;221;236;235;218;211;218;226;233;229;225;205;208;203;205;232;217
"Hele landet";"I alt";"Mænd";"99 år";100;97;112;120;127;120;110;111;106;96;104;121;139;125;137;137;138;153;149;143;139;135;146;145;124;124;122;125
"Hele landet";"I alt";"Mænd";"100 år";63;60;64;61;55;56;66;71;78;80;69;66;57;55;65;75;77;71;79;92;86;94;90;90;81;70;75;77
"Hele landet";"I alt";"Mænd";"101 år";39;43;40;46;41;35;35;34;38;34;39;41;51;47;40;38;34;32;41;44;50;48;50;52;48;60;52;49
"Hele landet";"I alt";"Mænd";"102 år";27;25;29;24;27;28;24;29;21;19;16;16;16;16;17;22;33;28;20;17;13;14;22;30;32;25;31;33
"Hele landet";"I alt";"Mænd";"103 år";16;19;16;17;15;14;17;14;17;16;12;16;12;11;8;4;6;8;8;10;15;12;12;8;6;12;15;17
"Hele landet";"I alt";"Mænd";"104 år";7;5;8;7;8;10;7;9;10;7;12;10;11;9;7;8;6;5;4;3;4;4;4;7;9;6;4;2
"Hele landet";"I alt";"Mænd";"105 år";2;3;1;2;3;2;2;2;2;2;2;4;6;5;7;3;4;5;5;5;3;3;2;1;2;3;3;4
"Hele landet";"I alt";"Mænd";"106 år";2;2;3;1;1;2;0;1;1;0;0;0;1;2;2;3;3;4;4;3;3;1;2;2;2;2;1;0
"Hele landet";"I alt";"Mænd";"107 år";0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;0;0;1;2
"Hele landet";"I alt";"Mænd";"108 år";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
"Hele landet";"I alt";"Mænd";"109 år";0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"110 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"111 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"112 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"113 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"114 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"115 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"116 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"117 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"118 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"119 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"120 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"121 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"122 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"123 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"124 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Mænd";"125 år";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hele landet";"I alt";"Kvinder";"0 år";27755;27780;27854;28176;28556;28979;29443;29971;30054;30080;30142;29851;30107;30223;30427;30452;29979;29717;29448;29753;29817;30098;30202;29984;29888;30016;30070;30483
"Hele landet";"I alt";"Kvinder";"1 år";27684;27558;27617;27836;28144;28165;28199;28467;28889;29296;29689;30202;30282;30294;30349;30029;30247;30314;30526;30521;30036;29802;29545;29864;29905;30226;30364;30136
"Hele landet";"I alt";"Kvinder";"2 år";28649;28482;28517;28272;28025;27900;27916;28177;28451;28409;28404;28652;28999;29368;29792;30305;30357;30336;30397;30086;30315;30341;30491;30508;30058;29863;29631;29946
"Hele landet";"I alt";"Kvinder";"3 år";29636;29411;29111;28865;28969;28835;28865;28551;28302;28173;28171;28351;28600;28521;28503;28720;29045;29410;29816;30302;30350;30333;30431;30112;30333;30372;30522;30556
