Date;Antal_døde;running_avg_deaths;new_1;new_2;new_3;new_4;new_1_avg;new_2_avg;new_3_avg;new_4_avg;sum_1;sum_2;sum_3;sum_4;active_1;active_2;active_3;active_4
2020-04-06;17;17,0000000;1452,38095;2355,21236;3004,92611;3630,95238;1394,55782;2261,44512;2885,29205;3486,39456; 75690,47619;122741,31274;156600,98522;189226,19048;15952,3810;25868,7259;33004,9261;39880,9524
2020-04-07;12;16,5714286;1547,61905;2509,65251;3201,97044;3869,04762;1391,15646;2255,92940;2878,25475;3477,89116; 77238,09524;125250,96525;159802,95567;193095,23810;15452,3810;25057,9151;31970,4433;38630,9524
2020-04-08;15;15,5714286;1500,00000;2432,43243;3103,44828;3750,00000;1380,95238;2239,38224;2857,14286;3452,38095; 78738,09524;127683,39768;162906,40394;196845,23810;14952,3810;24247,1042;30935,9606;37380,9524
2020-04-09;13;14,8571429;1333,33333;2162,16216;2758,62069;3333,33333;1329,93197;2156,64644;2751,58339;3324,82993; 80071,42857;129845,55985;165665,02463;200178,57143;14642,8571;23745,1737;30295,5665;36607,1429
2020-04-10;16;14,2857143;1261,90476;2046,33205;2610,83744;3154,76190;1251,70068;2029,78489;2589,72555;3129,25170; 81333,33333;131891,89189;168275,86207;203333,33333;14452,3810;23436,2934;29901,4778;36130,9524
2020-04-11;11;13,7142857;1190,47619;1930,50193;2463,05419;2976,19048;1146,25850;1858,79757;2371,56932;2865,64626; 82523,80952;133822,39382;170738,91626;206309,52381;14238,0952;23088,8031;29458,1281;35595,2381
2020-04-12;11;13,5714286;1023,80952;1660,23166;2118,22660;2559,52381;1037,41497;1682,29454;2146,37579;2593,53741; 83547,61905;135482,62548;172857,14286;208869,04762;14166,6667;22972,9730;29310,3448;35416,6667
2020-04-13;16;13,4285714; 904,76190;1467,18147;1871,92118;2261,90476; 965,98639;1566,46442;1998,59254;2414,96599; 84452,38095;136949,80695;174729,06404;211130,95238;14119,0476;22895,7529;29211,8227;35297,6190
2020-04-14;12;13,4285714; 809,52381;1312,74131;1674,87685;2023,80952; 901,36054;1461,66575;1864,88388;2253,40136; 85261,90476;138262,54826;176403,94089;213154,76190;14023,8095;22741,3127;29014,7783;35059,5238
2020-04-15;10;12,7142857; 738,09524;1196,91120;1527,09360;1845,23810; 826,53061;1340,31991;1710,06334;2066,32653; 86000,00000;139459,45946;177931,03448;215000,00000;13880,9524;22509,6525;28719,2118;34702,3810
2020-04-16;12;12,5714286; 833,33333;1351,35135;1724,13793;2083,33333; 782,31293;1268,61555;1618,57847;1955,78231; 86833,33333;140810,81081;179655,17241;217083,33333;13619,0476;22084,9421;28177,3399;34047,6190
2020-04-17; 9;11,5714286; 809,52381;1312,74131;1674,87685;2023,80952; 755,10204;1224,48980;1562,28008;1887,75510; 87642,85714;142123,55212;181330,04926;219107,14286;13238,0952;21467,1815;27389,1626;33095,2381
2020-04-18;10;11,4285714; 666,66667;1081,08108;1379,31034;1666,66667; 734,69388;1191,39548;1520,05630;1836,73469; 88309,52381;143204,63320;182709,35961;220773,80952;12857,1429;20849,4208;26600,9852;32142,8571
2020-04-19; 6;10,7142857; 714,28571;1158,30116;1477,83251;1785,71429; 721,08844;1169,33260;1491,90711;1802,72109; 89023,80952;144362,93436;184187,19212;222559,52381;12404,7619;20115,8301;25665,0246;31011,9048
2020-04-20; 7; 9,4285714; 714,28571;1158,30116;1477,83251;1785,71429; 676,87075;1097,62824;1400,42224;1692,17687; 89738,09524;145521,23552;185665,02463;224345,23810;11761,9048;19073,3591;24334,9754;29404,7619
2020-04-21;12; 9,4285714; 666,66667;1081,08108;1379,31034;1666,66667; 636,05442;1031,43960;1315,97467;1590,13605; 90404,76190;146602,31660;187044,33498;226011,90476;11142,8571;18069,4981;23054,1872;27857,1429
