Month;Day;2015;2016;2017;2018;2019
10;D19;128;149;160;128;155
10;D20;138;148;130;137;129
10;D21;137;152;120;138;124
10;D22;157;139;129;133;142
10;D23;159;145;138;143;154
10;D24;136;127;123;140;146
10;D25;142;141;135;142;158
10;D26;154;155;160;139;140
10;D27;118;144;125;124;162
10;D28;142;132;131;152;130
10;D29;151;139;122;133;131
10;D30;149;151;137;148;130
10;D31;131;155;136;132;154
11;D01;148;147;149;156;146
11;D02;139;143;162;148;125
11;D03;123;143;126;151;138
11;D04;158;136;126;139;158
11;D05;134;147;140;147;153
11;D06;141;132;143;134;156
11;D07;125;167;136;138;146
11;D08;151;138;138;129;149
11;D09;139;133;122;135;141
11;D10;146;152;137;146;143
11;D11;171;124;155;163;129
11;D12;139;163;125;131;153
11;D13;128;140;159;142;129
11;D14;118;140;169;129;151
11;D15;144;160;150;137;166
11;D16;153;149;173;135;158
11;D17;120;145;156;143;151
11;D18;146;155;144;137;157
11;D19;145;150;119;130;144
11;D20;132;146;152;137;154
11;D21;152;181;144;153;164
11;D22;138;148;131;136;153
11;D23;151;154;153;142;150
11;D24;158;140;135;166;135
11;D25;141;147;155;132;144
11;D26;152;143;141;142;177
11;D27;152;133;152;130;164
11;D28;169;154;151;144;143
11;D29;160;140;147;130;158
11;D30;160;157;134;148;149
11;D31;..;..;..;..;..
12;D01;158;156;147;150;160
12;D02;158;144;138;150;159
12;D03;144;132;158;167;153
12;D04;162;127;145;132;151
12;D05;175;137;175;165;177
12;D06;148;147;149;161;154
12;D07;135;154;130;153;165
12;D08;152;130;158;146;145
12;D09;133;164;165;161;156
12;D10;166;143;145;164;164
12;D11;164;168;153;138;157
12;D12;144;172;178;160;153
12;D13;139;168;164;154;170
12;D14;155;141;147;147;156
12;D15;141;159;162;133;151
12;D16;134;144;165;148;143
12;D17;152;135;133;161;148
12;D18;166;148;155;146;130
12;D19;151;142;160;154;141
12;D20;125;153;148;173;163
12;D21;137;150;148;161;156
12;D22;148;132;151;148;161
12;D23;154;158;140;153;141
12;D24;144;168;156;148;148
12;D25;129;157;156;152;140
12;D26;130;164;162;128;158
12;D27;152;151;201;132;139
12;D28;108;173;167;149;154
12;D29;149;165;148;167;158
12;D30;170;165;152;130;152
12;D31;158;173;148;156;157
