Aldersgruppe;Date;Variable;Total;Weekly_diff
50-59;2020-06-03;positive;  2134;   36
50-59;2020-06-03;testede; 92320; 9362
60-69;2020-06-03;positive;  1364;   35
60-69;2020-06-03;testede; 67848; 8283
70-79;2020-06-03;positive;   996;   27
70-79;2020-06-03;testede; 47086; 6956
80-89;2020-06-03;positive;   794;   15
80-89;2020-06-03;testede; 23000; 2487
90+;2020-06-03;positive;   253;    5
90+;2020-06-03;testede;  5938;  476
0-9;2020-06-10;positive;   307;   19
0-9;2020-06-10;testede; 35514; 5121
10-19;2020-06-10;positive;   574;   25
10-19;2020-06-10;testede; 39430; 4672
20-29;2020-06-10;positive;  1685;   46
20-29;2020-06-10;testede; 84290; 8618
30-39;2020-06-10;positive;  1729;   36
30-39;2020-06-10;testede; 87472; 8655
40-49;2020-06-10;positive;  2091;   30
40-49;2020-06-10;testede; 94647; 7584
50-59;2020-06-10;positive;  2177;   43
50-59;2020-06-10;testede;100327; 8007
60-69;2020-06-10;positive;  1387;   23
60-69;2020-06-10;testede; 75121; 7273
70-79;2020-06-10;positive;  1011;   15
70-79;2020-06-10;testede; 53428; 6342
80-89;2020-06-10;positive;   800;    6
80-89;2020-06-10;testede; 25473; 2473
90+;2020-06-10;positive;   255;    2
90+;2020-06-10;testede;  6416;  478
0-9;2020-06-17;positive;   328;   21
0-9;2020-06-17;testede; 44192; 8678
10-19;2020-06-17;positive;   591;   17
10-19;2020-06-17;testede; 45896; 6466
20-29;2020-06-17;positive;  1725;   40
20-29;2020-06-17;testede; 97535;13245
30-39;2020-06-17;positive;  1779;   50
30-39;2020-06-17;testede; 99569;12097
40-49;2020-06-17;positive;  2135;   44
40-49;2020-06-17;testede;103953; 9306
50-59;2020-06-17;positive;  2214;   37
50-59;2020-06-17;testede;109120; 8793
60-69;2020-06-17;positive;  1411;   24
60-69;2020-06-17;testede; 82528; 7407
70-79;2020-06-17;positive;  1036;   25
70-79;2020-06-17;testede; 59592; 6164
80-89;2020-06-17;positive;   818;   18
80-89;2020-06-17;testede; 27965; 2492
90+;2020-06-17;positive;   257;    2
90+;2020-06-17;testede;  6920;  504
0-9;2020-06-24;positive;   349;   21
0-9;2020-06-24;testede; 55439;11247
10-19;2020-06-24;positive;   628;   37
10-19;2020-06-24;testede; 54644; 8748
20-29;2020-06-24;positive;  1773;   48
20-29;2020-06-24;testede;111922;14387
