"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
779;10-19;137;2021-04-03
787;10-19;140;2021-04-03
791;10-19;352;2021-04-03
810;10-19;140;2021-04-03
813;10-19;217;2021-04-03
820;10-19;111;2021-04-03
825;10-19;1;2021-04-03
840;10-19;125;2021-04-03
846;10-19;140;2021-04-03
849;10-19;154;2021-04-03
851;10-19;1057;2021-04-03
860;10-19;201;2021-04-03
;20-29;387;2021-04-03
011;20-29;103;2021-04-03
019;20-29;10;2021-04-03
101;20-29;12572;2021-04-03
147;20-29;1599;2021-04-03
151;20-29;439;2021-04-03
153;20-29;472;2021-04-03
155;20-29;60;2021-04-03
157;20-29;437;2021-04-03
159;20-29;696;2021-04-03
161;20-29;258;2021-04-03
163;20-29;284;2021-04-03
165;20-29;338;2021-04-03
167;20-29;565;2021-04-03
169;20-29;648;2021-04-03
173;20-29;422;2021-04-03
175;20-29;456;2021-04-03
183;20-29;402;2021-04-03
185;20-29;316;2021-04-03
187;20-29;177;2021-04-03
190;20-29;215;2021-04-03
201;20-29;90;2021-04-03
210;20-29;241;2021-04-03
217;20-29;380;2021-04-03
219;20-29;324;2021-04-03
223;20-29;82;2021-04-03
230;20-29;265;2021-04-03
240;20-29;201;2021-04-03
250;20-29;212;2021-04-03
253;20-29;381;2021-04-03
259;20-29;430;2021-04-03
260;20-29;124;2021-04-03
265;20-29;641;2021-04-03
269;20-29;126;2021-04-03
270;20-29;139;2021-04-03
306;20-29;88;2021-04-03
316;20-29;327;2021-04-03
320;20-29;154;2021-04-03
326;20-29;154;2021-04-03
329;20-29;225;2021-04-03
330;20-29;529;2021-04-03
336;20-29;77;2021-04-03
340;20-29;99;2021-04-03
350;20-29;100;2021-04-03
360;20-29;98;2021-04-03
370;20-29;412;2021-04-03
376;20-29;187;2021-04-03
390;20-29;121;2021-04-03
400;20-29;50;2021-04-03
410;20-29;79;2021-04-03
420;20-29;75;2021-04-03
430;20-29;125;2021-04-03
440;20-29;58;2021-04-03
450;20-29;97;2021-04-03
461;20-29;2045;2021-04-03
479;20-29;149;2021-04-03
480;20-29;76;2021-04-03
482;20-29;10;2021-04-03
492;20-29;4;2021-04-03
510;20-29;181;2021-04-03
530;20-29;80;2021-04-03
540;20-29;239;2021-04-03
550;20-29;86;2021-04-03
561;20-29;545;2021-04-03
563;20-29;2;2021-04-03
573;20-29;163;2021-04-03
575;20-29;143;2021-04-03
580;20-29;165;2021-04-03
607;20-29;192;2021-04-03
615;20-29;485;2021-04-03
621;20-29;476;2021-04-03
630;20-29;609;2021-04-03
657;20-29;311;2021-04-03
661;20-29;259;2021-04-03
665;20-29;48;2021-04-03
671;20-29;72;2021-04-03
706;20-29;80;2021-04-03
707;20-29;82;2021-04-03
710;20-29;124;2021-04-03
727;20-29;36;2021-04-03
730;20-29;437;2021-04-03
740;20-29;315;2021-04-03
741;20-29;4;2021-04-03
746;20-29;183;2021-04-03
751;20-29;4663;2021-04-03
756;20-29;125;2021-04-03
760;20-29;162;2021-04-03
766;20-29;149;2021-04-03
773;20-29;73;2021-04-03
779;20-29;124;2021-04-03
787;20-29;141;2021-04-03
791;20-29;239;2021-04-03
810;20-29;99;2021-04-03
813;20-29;160;2021-04-03
820;20-29;99;2021-04-03
825;20-29;3;2021-04-03
840;20-29;53;2021-04-03
846;20-29;134;2021-04-03
849;20-29;94;2021-04-03
851;20-29;1895;2021-04-03
860;20-29;157;2021-04-03
;30-39;339;2021-04-03
011;30-39;194;2021-04-03
012;30-39;1;2021-04-03
019;30-39;23;2021-04-03
101;30-39;7444;2021-04-03
147;30-39;944;2021-04-03
151;30-39;408;2021-04-03
153;30-39;443;2021-04-03
155;30-39;85;2021-04-03
157;30-39;357;2021-04-03
159;30-39;640;2021-04-03
161;30-39;275;2021-04-03
163;30-39;291;2021-04-03
165;30-39;303;2021-04-03
167;30-39;539;2021-04-03
169;30-39;654;2021-04-03
173;30-39;299;2021-04-03
175;30-39;412;2021-04-03
183;30-39;401;2021-04-03
185;30-39;336;2021-04-03
187;30-39;242;2021-04-03
190;30-39;242;2021-04-03
201;30-39;99;2021-04-03
210;30-39;241;2021-04-03
217;30-39;357;2021-04-03
219;30-39;299;2021-04-03
223;30-39;84;2021-04-03
230;30-39;239;2021-04-03
240;30-39;291;2021-04-03
250;30-39;170;2021-04-03
253;30-39;367;2021-04-03
259;30-39;370;2021-04-03
260;30-39;117;2021-04-03
265;30-39;537;2021-04-03
269;30-39;174;2021-04-03
270;30-39;154;2021-04-03
306;30-39;81;2021-04-03
316;30-39;330;2021-04-03
320;30-39;163;2021-04-03
326;30-39;151;2021-04-03
329;30-39;186;2021-04-03
330;30-39;446;2021-04-03
336;30-39;90;2021-04-03
340;30-39;103;2021-04-03
350;30-39;165;2021-04-03
360;30-39;104;2021-04-03
370;30-39;348;2021-04-03
376;30-39;200;2021-04-03
390;30-39;138;2021-04-03
400;30-39;70;2021-04-03
410;30-39;83;2021-04-03
420;30-39;91;2021-04-03
430;30-39;125;2021-04-03
440;30-39;52;2021-04-03
450;30-39;115;2021-04-03
461;30-39;1037;2021-04-03
479;30-39;113;2021-04-03
480;30-39;70;2021-04-03
482;30-39;14;2021-04-03
492;30-39;1;2021-04-03
510;30-39;106;2021-04-03
530;30-39;91;2021-04-03
540;30-39;180;2021-04-03
550;30-39;75;2021-04-03
561;30-39;396;2021-04-03
563;30-39;6;2021-04-03
573;30-39;153;2021-04-03
575;30-39;136;2021-04-03
580;30-39;153;2021-04-03
607;30-39;160;2021-04-03
615;30-39;393;2021-04-03
621;30-39;500;2021-04-03
630;30-39;577;2021-04-03
657;30-39;327;2021-04-03
661;30-39;216;2021-04-03
665;30-39;51;2021-04-03
671;30-39;77;2021-04-03
706;30-39;80;2021-04-03
707;30-39;74;2021-04-03
710;30-39;165;2021-04-03
727;30-39;56;2021-04-03
730;30-39;371;2021-04-03
740;30-39;329;2021-04-03
741;30-39;6;2021-04-03
746;30-39;258;2021-04-03
751;30-39;2005;2021-04-03
756;30-39;119;2021-04-03
760;30-39;132;2021-04-03
766;30-39;130;2021-04-03
773;30-39;42;2021-04-03
779;30-39;99;2021-04-03
787;30-39;120;2021-04-03
791;30-39;237;2021-04-03
810;30-39;132;2021-04-03
813;30-39;150;2021-04-03
820;30-39;109;2021-04-03
840;30-39;99;2021-04-03
846;30-39;121;2021-04-03
849;30-39;119;2021-04-03
851;30-39;794;2021-04-03
860;30-39;176;2021-04-03
961;30-39;1;2021-04-03
;40-49;293;2021-04-03
011;40-49;200;2021-04-03
012;40-49;1;2021-04-03
019;40-49;18;2021-04-03
101;40-49;5331;2021-04-03
147;40-49;816;2021-04-03
151;40-49;503;2021-04-03
153;40-49;458;2021-04-03
155;40-49;109;2021-04-03
157;40-49;587;2021-04-03
159;40-49;652;2021-04-03
161;40-49;233;2021-04-03
163;40-49;358;2021-04-03
165;40-49;363;2021-04-03
167;40-49;608;2021-04-03
169;40-49;644;2021-04-03
173;40-49;395;2021-04-03
175;40-49;472;2021-04-03
183;40-49;394;2021-04-03
185;40-49;484;2021-04-03
187;40-49;225;2021-04-03
190;40-49;294;2021-04-03
201;40-49;141;2021-04-03
210;40-49;297;2021-04-03
217;40-49;479;2021-04-03
219;40-49;335;2021-04-03
223;40-49;142;2021-04-03
230;40-49;391;2021-04-03
240;40-49;413;2021-04-03
250;40-49;271;2021-04-03
253;40-49;512;2021-04-03
259;40-49;479;2021-04-03
260;40-49;147;2021-04-03
265;40-49;560;2021-04-03
269;40-49;231;2021-04-03
270;40-49;240;2021-04-03
306;40-49;132;2021-04-03
316;40-49;431;2021-04-03
320;40-49;226;2021-04-03
326;40-49;216;2021-04-03
329;40-49;260;2021-04-03
330;40-49;606;2021-04-03
336;40-49;137;2021-04-03
340;40-49;166;2021-04-03
350;40-49;204;2021-04-03
360;40-49;172;2021-04-03
370;40-49;439;2021-04-03
376;40-49;234;2021-04-03
390;40-49;196;2021-04-03
400;40-49;88;2021-04-03
410;40-49;139;2021-04-03
420;40-49;106;2021-04-03
430;40-49;162;2021-04-03
440;40-49;97;2021-04-03
450;40-49;139;2021-04-03
461;40-49;954;2021-04-03
479;40-49;220;2021-04-03
480;40-49;102;2021-04-03
482;40-49;19;2021-04-03
492;40-49;5;2021-04-03
510;40-49;154;2021-04-03
530;40-49;110;2021-04-03
540;40-49;325;2021-04-03
550;40-49;107;2021-04-03
561;40-49;501;2021-04-03
563;40-49;11;2021-04-03
573;40-49;166;2021-04-03
575;40-49;181;2021-04-03
580;40-49;167;2021-04-03
607;40-49;202;2021-04-03
615;40-49;440;2021-04-03
621;40-49;500;2021-04-03
630;40-49;549;2021-04-03
657;40-49;326;2021-04-03
661;40-49;294;2021-04-03
665;40-49;42;2021-04-03
671;40-49;105;2021-04-03
706;40-49;116;2021-04-03
707;40-49;94;2021-04-03
710;40-49;206;2021-04-03
727;40-49;91;2021-04-03
730;40-49;413;2021-04-03
740;40-49;413;2021-04-03
741;40-49;7;2021-04-03
746;40-49;352;2021-04-03
751;40-49;1734;2021-04-03
756;40-49;159;2021-04-03
760;40-49;143;2021-04-03
766;40-49;207;2021-04-03
773;40-49;85;2021-04-03
779;40-49;124;2021-04-03
787;40-49;130;2021-04-03
791;40-49;316;2021-04-03
810;40-49;134;2021-04-03
813;40-49;181;2021-04-03
820;40-49;100;2021-04-03
825;40-49;5;2021-04-03
840;40-49;103;2021-04-03
846;40-49;152;2021-04-03
849;40-49;149;2021-04-03
851;40-49;816;2021-04-03
860;40-49;201;2021-04-03
;50-59;210;2021-04-03
011;50-59;109;2021-04-03
012;50-59;2;2021-04-03
019;50-59;8;2021-04-03
101;50-59;4404;2021-04-03
147;50-59;704;2021-04-03
151;50-59;526;2021-04-03
153;50-59;403;2021-04-03
155;50-59;131;2021-04-03
157;50-59;622;2021-04-03
159;50-59;646;2021-04-03
161;50-59;202;2021-04-03
163;50-59;323;2021-04-03
165;50-59;301;2021-04-03
167;50-59;500;2021-04-03
169;50-59;523;2021-04-03
173;50-59;392;2021-04-03
175;50-59;378;2021-04-03
183;50-59;337;2021-04-03
185;50-59;379;2021-04-03
187;50-59;168;2021-04-03
190;50-59;301;2021-04-03
201;50-59;174;2021-04-03
210;50-59;339;2021-04-03
217;50-59;582;2021-04-03
219;50-59;392;2021-04-03
223;50-59;212;2021-04-03
230;50-59;480;2021-04-03
240;50-59;405;2021-04-03
250;50-59;304;2021-04-03
253;50-59;460;2021-04-03
259;50-59;544;2021-04-03
260;50-59;169;2021-04-03
265;50-59;574;2021-04-03
269;50-59;206;2021-04-03
270;50-59;299;2021-04-03
306;50-59;147;2021-04-03
316;50-59;461;2021-04-03
320;50-59;255;2021-04-03
326;50-59;246;2021-04-03
329;50-59;241;2021-04-03
330;50-59;558;2021-04-03
336;50-59;142;2021-04-03
340;50-59;143;2021-04-03
350;50-59;202;2021-04-03
360;50-59;168;2021-04-03
370;50-59;522;2021-04-03
376;50-59;284;2021-04-03
390;50-59;205;2021-04-03
400;50-59;95;2021-04-03
410;50-59;157;2021-04-03
420;50-59;123;2021-04-03
430;50-59;187;2021-04-03
440;50-59;110;2021-04-03
450;50-59;149;2021-04-03
461;50-59;936;2021-04-03
479;50-59;217;2021-04-03
480;50-59;105;2021-04-03
482;50-59;28;2021-04-03
492;50-59;11;2021-04-03
510;50-59;163;2021-04-03
530;50-59;98;2021-04-03
540;50-59;265;2021-04-03
550;50-59;115;2021-04-03
561;50-59;521;2021-04-03
563;50-59;1;2021-04-03
573;50-59;189;2021-04-03
575;50-59;156;2021-04-03
580;50-59;233;2021-04-03
607;50-59;202;2021-04-03
615;50-59;400;2021-04-03
621;50-59;414;2021-04-03
630;50-59;507;2021-04-03
657;50-59;347;2021-04-03
661;50-59;308;2021-04-03
665;50-59;89;2021-04-03
671;50-59;125;2021-04-03
706;50-59;133;2021-04-03
707;50-59;126;2021-04-03
710;50-59;198;2021-04-03
727;50-59;105;2021-04-03
730;50-59;467;2021-04-03
740;50-59;342;2021-04-03
741;50-59;15;2021-04-03
746;50-59;301;2021-04-03
751;50-59;1722;2021-04-03
756;50-59;165;2021-04-03
760;50-59;183;2021-04-03
766;50-59;201;2021-04-03
773;50-59;105;2021-04-03
779;50-59;136;2021-04-03
787;50-59;172;2021-04-03
791;50-59;319;2021-04-03
810;50-59;173;2021-04-03
813;50-59;284;2021-04-03
820;50-59;117;2021-04-03
825;50-59;6;2021-04-03
840;50-59;101;2021-04-03
846;50-59;160;2021-04-03
849;50-59;178;2021-04-03
851;50-59;771;2021-04-03
860;50-59;268;2021-04-03
;60-69;99;2021-04-03
011;60-69;18;2021-04-03
019;60-69;1;2021-04-03
101;60-69;2188;2021-04-03
147;60-69;358;2021-04-03
151;60-69;231;2021-04-03
153;60-69;253;2021-04-03
155;60-69;74;2021-04-03
157;60-69;360;2021-04-03
159;60-69;356;2021-04-03
161;60-69;115;2021-04-03
163;60-69;183;2021-04-03
165;60-69;165;2021-04-03
167;60-69;289;2021-04-03
169;60-69;267;2021-04-03
173;60-69;207;2021-04-03
175;60-69;236;2021-04-03
183;60-69;145;2021-04-03
185;60-69;216;2021-04-03
187;60-69;78;2021-04-03
190;60-69;140;2021-04-03
201;60-69;79;2021-04-03
210;60-69;195;2021-04-03
217;60-69;345;2021-04-03
219;60-69;217;2021-04-03
223;60-69;114;2021-04-03
230;60-69;229;2021-04-03
240;60-69;174;2021-04-03
250;60-69;150;2021-04-03
253;60-69;205;2021-04-03
259;60-69;200;2021-04-03
260;60-69;117;2021-04-03
265;60-69;293;2021-04-03
269;60-69;101;2021-04-03
270;60-69;181;2021-04-03
306;60-69;122;2021-04-03
316;60-69;286;2021-04-03
320;60-69;126;2021-04-03
326;60-69;168;2021-04-03
329;60-69;106;2021-04-03
330;60-69;288;2021-04-03
336;60-69;76;2021-04-03
340;60-69;105;2021-04-03
350;60-69;93;2021-04-03
360;60-69;136;2021-04-03
370;60-69;302;2021-04-03
376;60-69;203;2021-04-03
390;60-69;135;2021-04-03
400;60-69;63;2021-04-03
410;60-69;96;2021-04-03
420;60-69;64;2021-04-03
430;60-69;91;2021-04-03
440;60-69;67;2021-04-03
450;60-69;94;2021-04-03
461;60-69;477;2021-04-03
479;60-69;131;2021-04-03
480;60-69;64;2021-04-03
482;60-69;26;2021-04-03
492;60-69;4;2021-04-03
510;60-69;87;2021-04-03
530;60-69;52;2021-04-03
540;60-69;130;2021-04-03
550;60-69;70;2021-04-03
561;60-69;279;2021-04-03
563;60-69;6;2021-04-03
573;60-69;131;2021-04-03
575;60-69;91;2021-04-03
580;60-69;120;2021-04-03
607;60-69;119;2021-04-03
615;60-69;179;2021-04-03
621;60-69;255;2021-04-03
630;60-69;259;2021-04-03
657;60-69;216;2021-04-03
661;60-69;193;2021-04-03
665;60-69;48;2021-04-03
671;60-69;81;2021-04-03
706;60-69;76;2021-04-03
707;60-69;85;2021-04-03
710;60-69;80;2021-04-03
727;60-69;56;2021-04-03
730;60-69;238;2021-04-03
740;60-69;197;2021-04-03
741;60-69;24;2021-04-03
746;60-69;165;2021-04-03
751;60-69;955;2021-04-03
756;60-69;96;2021-04-03
760;60-69;109;2021-04-03
766;60-69;104;2021-04-03
773;60-69;56;2021-04-03
779;60-69;78;2021-04-03
787;60-69;146;2021-04-03
791;60-69;171;2021-04-03
810;60-69;93;2021-04-03
813;60-69;170;2021-04-03
820;60-69;91;2021-04-03
825;60-69;3;2021-04-03
840;60-69;67;2021-04-03
846;60-69;126;2021-04-03
849;60-69;126;2021-04-03
851;60-69;472;2021-04-03
860;60-69;155;2021-04-03
;70-79;25;2021-04-03
011;70-79;2;2021-04-03
101;70-79;1217;2021-04-03
147;70-79;321;2021-04-03
151;70-79;160;2021-04-03
153;70-79;152;2021-04-03
155;70-79;41;2021-04-03
157;70-79;215;2021-04-03
159;70-79;184;2021-04-03
161;70-79;75;2021-04-03
163;70-79;97;2021-04-03
165;70-79;92;2021-04-03
167;70-79;125;2021-04-03
169;70-79;169;2021-04-03
173;70-79;140;2021-04-03
175;70-79;108;2021-04-03
183;70-79;96;2021-04-03
185;70-79;140;2021-04-03
187;70-79;64;2021-04-03
190;70-79;86;2021-04-03
201;70-79;64;2021-04-03
210;70-79;130;2021-04-03
217;70-79;228;2021-04-03
219;70-79;136;2021-04-03
223;70-79;88;2021-04-03
230;70-79;144;2021-04-03
240;70-79;168;2021-04-03
250;70-79;100;2021-04-03
253;70-79;134;2021-04-03
259;70-79;172;2021-04-03
260;70-79;66;2021-04-03
265;70-79;192;2021-04-03
269;70-79;71;2021-04-03
270;70-79;130;2021-04-03
306;70-79;83;2021-04-03
316;70-79;135;2021-04-03
320;70-79;72;2021-04-03
326;70-79;113;2021-04-03
329;70-79;47;2021-04-03
330;70-79;211;2021-04-03
336;70-79;69;2021-04-03
340;70-79;46;2021-04-03
350;70-79;59;2021-04-03
360;70-79;84;2021-04-03
370;70-79;199;2021-04-03
376;70-79;144;2021-04-03
390;70-79;76;2021-04-03
400;70-79;75;2021-04-03
410;70-79;51;2021-04-03
420;70-79;33;2021-04-03
430;70-79;68;2021-04-03
440;70-79;29;2021-04-03
450;70-79;62;2021-04-03
461;70-79;269;2021-04-03
479;70-79;83;2021-04-03
480;70-79;37;2021-04-03
482;70-79;16;2021-04-03
492;70-79;6;2021-04-03
510;70-79;42;2021-04-03
530;70-79;56;2021-04-03
540;70-79;78;2021-04-03
550;70-79;41;2021-04-03
561;70-79;182;2021-04-03
563;70-79;11;2021-04-03
573;70-79;86;2021-04-03
575;70-79;51;2021-04-03
580;70-79;86;2021-04-03
607;70-79;68;2021-04-03
615;70-79;125;2021-04-03
621;70-79;136;2021-04-03
630;70-79;164;2021-04-03
657;70-79;105;2021-04-03
661;70-79;116;2021-04-03
665;70-79;31;2021-04-03
671;70-79;44;2021-04-03
706;70-79;64;2021-04-03
707;70-79;45;2021-04-03
710;70-79;58;2021-04-03
727;70-79;34;2021-04-03
730;70-79;125;2021-04-03
740;70-79;138;2021-04-03
741;70-79;10;2021-04-03
746;70-79;113;2021-04-03
751;70-79;466;2021-04-03
756;70-79;63;2021-04-03
760;70-79;64;2021-04-03
766;70-79;60;2021-04-03
773;70-79;51;2021-04-03
779;70-79;65;2021-04-03
787;70-79;88;2021-04-03
791;70-79;98;2021-04-03
810;70-79;86;2021-04-03
813;70-79;106;2021-04-03
820;70-79;49;2021-04-03
825;70-79;2;2021-04-03
840;70-79;36;2021-04-03
846;70-79;72;2021-04-03
849;70-79;62;2021-04-03
851;70-79;302;2021-04-03
860;70-79;99;2021-04-03
;80-89;10;2021-04-03
101;80-89;597;2021-04-03
147;80-89;249;2021-04-03
151;80-89;159;2021-04-03
153;80-89;85;2021-04-03
155;80-89;18;2021-04-03
157;80-89;121;2021-04-03
159;80-89;143;2021-04-03
161;80-89;57;2021-04-03
163;80-89;89;2021-04-03
165;80-89;29;2021-04-03
167;80-89;87;2021-04-03
169;80-89;83;2021-04-03
173;80-89;99;2021-04-03
175;80-89;73;2021-04-03
183;80-89;33;2021-04-03
185;80-89;80;2021-04-03
187;80-89;32;2021-04-03
190;80-89;86;2021-04-03
201;80-89;43;2021-04-03
210;80-89;76;2021-04-03
217;80-89;110;2021-04-03
219;80-89;77;2021-04-03
223;80-89;41;2021-04-03
230;80-89;97;2021-04-03
240;80-89;80;2021-04-03
250;80-89;65;2021-04-03
253;80-89;70;2021-04-03
259;80-89;57;2021-04-03
260;80-89;23;2021-04-03
265;80-89;100;2021-04-03
269;80-89;17;2021-04-03
270;80-89;61;2021-04-03
306;80-89;38;2021-04-03
316;80-89;75;2021-04-03
320;80-89;28;2021-04-03
326;80-89;58;2021-04-03
329;80-89;33;2021-04-03
330;80-89;129;2021-04-03
336;80-89;37;2021-04-03
340;80-89;22;2021-04-03
350;80-89;32;2021-04-03
360;80-89;54;2021-04-03
370;80-89;99;2021-04-03
376;80-89;82;2021-04-03
390;80-89;28;2021-04-03
400;80-89;23;2021-04-03
410;80-89;25;2021-04-03
420;80-89;15;2021-04-03
430;80-89;38;2021-04-03
440;80-89;22;2021-04-03
450;80-89;38;2021-04-03
461;80-89;110;2021-04-03
479;80-89;46;2021-04-03
480;80-89;13;2021-04-03
482;80-89;3;2021-04-03
492;80-89;2;2021-04-03
510;80-89;21;2021-04-03
530;80-89;17;2021-04-03
540;80-89;42;2021-04-03
550;80-89;14;2021-04-03
561;80-89;97;2021-04-03
563;80-89;1;2021-04-03
573;80-89;41;2021-04-03
575;80-89;18;2021-04-03
580;80-89;33;2021-04-03
607;80-89;41;2021-04-03
615;80-89;59;2021-04-03
621;80-89;51;2021-04-03
630;80-89;45;2021-04-03
657;80-89;65;2021-04-03
661;80-89;69;2021-04-03
665;80-89;6;2021-04-03
671;80-89;24;2021-04-03
706;80-89;34;2021-04-03
707;80-89;21;2021-04-03
710;80-89;20;2021-04-03
727;80-89;19;2021-04-03
730;80-89;46;2021-04-03
740;80-89;44;2021-04-03
741;80-89;4;2021-04-03
746;80-89;69;2021-04-03
751;80-89;254;2021-04-03
756;80-89;33;2021-04-03
760;80-89;30;2021-04-03
766;80-89;30;2021-04-03
773;80-89;19;2021-04-03
779;80-89;17;2021-04-03
787;80-89;48;2021-04-03
791;80-89;39;2021-04-03
810;80-89;24;2021-04-03
813;80-89;51;2021-04-03
820;80-89;22;2021-04-03
840;80-89;26;2021-04-03
846;80-89;43;2021-04-03
849;80-89;27;2021-04-03
851;80-89;128;2021-04-03
860;80-89;48;2021-04-03
;90+;9;2021-04-03
101;90+;229;2021-04-03
147;90+;113;2021-04-03
151;90+;24;2021-04-03
153;90+;19;2021-04-03
155;90+;7;2021-04-03
157;90+;59;2021-04-03
159;90+;51;2021-04-03
161;90+;26;2021-04-03
163;90+;36;2021-04-03
165;90+;5;2021-04-03
167;90+;21;2021-04-03
169;90+;30;2021-04-03
173;90+;64;2021-04-03
175;90+;28;2021-04-03
183;90+;5;2021-04-03
185;90+;37;2021-04-03
187;90+;11;2021-04-03
190;90+;38;2021-04-03
201;90+;18;2021-04-03
210;90+;26;2021-04-03
217;90+;26;2021-04-03
219;90+;12;2021-04-03
