"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Solrød;19422;19079;14421;23798;81.6;80.2;60.6
Sorø;25089;24746;19175;29990;83.7;82.5;63.9
Stevns;19536;19226;15212;23630;82.7;81.4;64.4
Struer;17846;17588;13775;20840;85.6;84.4;66.1
Svendborg;50536;49806;38821;59258;85.3;84.0;65.5
Syddjurs;36971;36435;28904;43815;84.4;83.2;66.0
Sønderborg;61551;60641;47341;73782;83.4;82.2;64.2
Thisted;36265;35719;27864;43119;84.1;82.8;64.6
Tårnby;34199;33486;25072;42789;79.9;78.3;58.6
Tønder;29883;29438;22813;36890;81.0;79.8;61.8
Vallensbæk;12556;12261;8883;16565;75.8;74.0;53.6
Varde;41101;40451;31423;49758;82.6;81.3;63.2
Vejen;34853;34274;25884;42629;81.8;80.4;60.7
Vejle;97925;96372;72246;119604;81.9;80.6;60.4
Vesthimmerland;29983;29519;22827;36303;82.6;81.3;62.9
Viborg;81907;80625;61075;96883;84.5;83.2;63.0
Vordingborg;37390;36803;29083;45358;82.4;81.1;64.1
Århus;295262;289677;221745;355691;83.0;81.4;62.3
Ærø;5257;5169;4384;6030;87.2;85.7;72.7
