"Revacc. 1 dato";"Regionsnavn";"Antal revacc. 1"
2021-08-10;Hovedstaden;6
2021-08-11;Nordjylland;1
2021-08-11;Midtjylland;3
2021-08-11;Syddanmark;4
2021-08-11;Hovedstaden;8
2021-08-11;Sjælland;1
2021-08-12;Midtjylland;4
2021-08-12;Syddanmark;1
2021-08-12;Hovedstaden;3
2021-08-12;Sjælland;1
2021-08-13;Midtjylland;2
2021-08-13;Syddanmark;1
2021-08-13;Hovedstaden;2
2021-08-13;Sjælland;1
2021-08-14;Nordjylland;1
2021-08-14;Hovedstaden;4
2021-08-15;Nordjylland;1
2021-08-15;Hovedstaden;3
2021-08-15;Sjælland;2
2021-08-16;Midtjylland;2
2021-08-16;Hovedstaden;9
2021-08-17;Nordjylland;1
2021-08-17;Syddanmark;2
2021-08-17;Hovedstaden;5
2021-08-17;Sjælland;2
2021-08-18;Syddanmark;2
2021-08-18;Hovedstaden;7
2021-08-18;Sjælland;4
2021-08-19;Midtjylland;7
2021-08-19;Syddanmark;4
2021-08-19;Hovedstaden;3
2021-08-19;Sjælland;2
2021-08-20;Midtjylland;5
2021-08-20;Hovedstaden;1
2021-08-20;Sjælland;1
2021-08-21;Hovedstaden;2
2021-08-21;Sjælland;1
2021-08-22;Syddanmark;1
2021-08-22;Hovedstaden;3
2021-08-23;Nordjylland;1
2021-08-23;Midtjylland;4
2021-08-23;Syddanmark;2
2021-08-23;Hovedstaden;8
2021-08-23;Sjælland;1
2021-08-24;Nordjylland;1
2021-08-24;Midtjylland;3
2021-08-24;Syddanmark;2
2021-08-24;Hovedstaden;3
2021-08-24;Sjælland;4
2021-08-25;Midtjylland;5
2021-08-25;Syddanmark;4
2021-08-25;Hovedstaden;1
2021-08-25;Sjælland;2
2021-08-26;Nordjylland;1
2021-08-26;Midtjylland;1
2021-08-26;Syddanmark;2
2021-08-26;Hovedstaden;3
2021-08-26;Sjælland;1
2021-08-27;Midtjylland;3
2021-08-27;Hovedstaden;5
2021-08-28;Hovedstaden;2
2021-08-28;Sjælland;1
2021-08-29;Syddanmark;1
2021-08-29;Hovedstaden;3
2021-08-29;Sjælland;1
2021-08-30;Nordjylland;2
2021-08-30;Midtjylland;14
2021-08-30;Syddanmark;6
2021-08-30;Hovedstaden;6
2021-08-30;Sjælland;1
2021-08-31;Nordjylland;1
2021-08-31;Midtjylland;3
2021-08-31;Hovedstaden;10
2021-09-01;Nordjylland;2
2021-09-01;Midtjylland;10
2021-09-01;Syddanmark;3
2021-09-01;Hovedstaden;2
2021-09-02;Midtjylland;10
2021-09-02;Syddanmark;4
2021-09-02;Hovedstaden;6
2021-09-02;Sjælland;1
2021-09-03;Midtjylland;3
2021-09-03;Syddanmark;1
2021-09-03;Hovedstaden;9
2021-09-03;Sjælland;1
2021-09-04;Midtjylland;2
2021-09-04;Syddanmark;2
2021-09-04;Hovedstaden;2
2021-09-04;Sjælland;2
2021-09-05;Nordjylland;1
2021-09-05;Syddanmark;2
2021-09-05;Hovedstaden;1
2021-09-06;Midtjylland;6
2021-09-06;Syddanmark;106
2021-09-06;Sjælland;1
2021-09-07;Midtjylland;4
2021-09-07;Syddanmark;8
2021-09-07;Hovedstaden;4
2021-09-07;Sjælland;3
2021-09-08;Nordjylland;1
2021-09-08;Midtjylland;34
2021-09-08;Syddanmark;1
2021-09-08;Hovedstaden;1
2021-09-09;Midtjylland;5
2021-09-09;Syddanmark;2
2021-09-09;Hovedstaden;159
2021-09-09;Sjælland;1
2021-09-10;Nordjylland;1
2021-09-10;Midtjylland;303
2021-09-10;Syddanmark;258
2021-09-10;Hovedstaden;285
2021-09-10;Sjælland;335
2021-09-11;Nordjylland;29
2021-09-11;Midtjylland;254
2021-09-11;Syddanmark;622
2021-09-11;Hovedstaden;1153
2021-09-11;Sjælland;600
2021-09-12;Nordjylland;86
2021-09-12;Midtjylland;166
2021-09-12;Syddanmark;505
2021-09-12;Hovedstaden;828
2021-09-12;Sjælland;309
2021-09-13;Nordjylland;25
2021-09-13;Midtjylland;1333
2021-09-13;Syddanmark;1057
2021-09-13;Hovedstaden;2047
2021-09-13;Sjælland;898
2021-09-14;Nordjylland;49
2021-09-14;Midtjylland;1302
2021-09-14;Syddanmark;976
2021-09-14;Hovedstaden;1793
2021-09-14;Sjælland;866
2021-09-15;Nordjylland;237
2021-09-15;Midtjylland;1479
2021-09-15;Syddanmark;1539
2021-09-15;Hovedstaden;1616
2021-09-15;Sjælland;1036
2021-09-16;Nordjylland;590
2021-09-16;Midtjylland;1188
2021-09-16;Syddanmark;1282
2021-09-16;Hovedstaden;1478
2021-09-16;Sjælland;816
2021-09-17;Nordjylland;330
2021-09-17;Midtjylland;801
2021-09-17;Syddanmark;1237
2021-09-17;Hovedstaden;1607
2021-09-17;Sjælland;811
2021-09-18;Nordjylland;604
2021-09-18;Midtjylland;13
2021-09-18;Syddanmark;171
2021-09-18;Hovedstaden;278
2021-09-18;Sjælland;91
2021-09-19;Nordjylland;325
2021-09-19;Midtjylland;1
2021-09-19;Syddanmark;119
2021-09-19;Hovedstaden;240
2021-09-19;Sjælland;71
2021-09-20;Nordjylland;412
2021-09-20;Midtjylland;1332
2021-09-20;Syddanmark;1171
2021-09-20;Hovedstaden;1553
2021-09-20;Sjælland;770
2021-09-21;Nordjylland;1081
2021-09-21;Midtjylland;1365
2021-09-21;Syddanmark;995
2021-09-21;Hovedstaden;1374
2021-09-21;Sjælland;576
2021-09-22;Nordjylland;983
2021-09-22;Midtjylland;1772
2021-09-22;Syddanmark;1035
2021-09-22;Hovedstaden;1166
2021-09-22;Sjælland;665
2021-09-23;Nordjylland;560
2021-09-23;Midtjylland;1336
2021-09-23;Syddanmark;1030
2021-09-23;Hovedstaden;1369
2021-09-23;Sjælland;591
2021-09-24;Nordjylland;441
2021-09-24;Midtjylland;1011
2021-09-24;Syddanmark;345
2021-09-24;Hovedstaden;1166
2021-09-24;Sjælland;742
2021-09-25;Nordjylland;335
2021-09-25;Midtjylland;20
2021-09-25;Syddanmark;150
2021-09-25;Hovedstaden;172
2021-09-25;Sjælland;62
2021-09-26;Nordjylland;398
2021-09-26;Midtjylland;32
2021-09-26;Syddanmark;113
2021-09-26;Hovedstaden;136
2021-09-26;Sjælland;45
2021-09-27;Nordjylland;139
2021-09-27;Midtjylland;974
2021-09-27;Syddanmark;552
2021-09-27;Hovedstaden;1285
2021-09-27;Sjælland;449
2021-09-28;Nordjylland;419
2021-09-28;Midtjylland;1118
2021-09-28;Syddanmark;580
2021-09-28;Hovedstaden;679
2021-09-28;Sjælland;563
2021-09-29;Nordjylland;379
2021-09-29;Midtjylland;1349
2021-09-29;Syddanmark;415
2021-09-29;Hovedstaden;277
2021-09-29;Sjælland;314
2021-09-30;Nordjylland;114
2021-09-30;Midtjylland;858
2021-09-30;Syddanmark;306
2021-09-30;Hovedstaden;387
2021-09-30;Sjælland;225
2021-10-01;Nordjylland;48
2021-10-01;Midtjylland;947
2021-10-01;Syddanmark;587
2021-10-01;Hovedstaden;816
2021-10-01;Sjælland;347
2021-10-02;Nordjylland;48
2021-10-02;Midtjylland;26
2021-10-02;Syddanmark;508
2021-10-02;Hovedstaden;1055
2021-10-02;Sjælland;262
2021-10-03;Nordjylland;416
2021-10-03;Midtjylland;26
2021-10-03;Syddanmark;436
2021-10-03;Hovedstaden;89
2021-10-03;Sjælland;201
2021-10-04;Nordjylland;244
2021-10-04;Midtjylland;1604
2021-10-04;Syddanmark;1023
2021-10-04;Hovedstaden;233
2021-10-04;Sjælland;381
2021-10-05;Nordjylland;407
2021-10-05;Midtjylland;1651
2021-10-05;Syddanmark;1021
2021-10-05;Hovedstaden;1650
2021-10-05;Sjælland;331
2021-10-06;Nordjylland;418
2021-10-06;Midtjylland;1551
2021-10-06;Syddanmark;1265
2021-10-06;Hovedstaden;1863
2021-10-06;Sjælland;1456
2021-10-07;Nordjylland;316
2021-10-07;Midtjylland;1324
2021-10-07;Syddanmark;1213
2021-10-07;Hovedstaden;2032
2021-10-07;Sjælland;600
2021-10-08;Nordjylland;247
2021-10-08;Midtjylland;1502
2021-10-08;Syddanmark;980
2021-10-08;Hovedstaden;1463
2021-10-08;Sjælland;606
2021-10-09;Nordjylland;456
2021-10-09;Midtjylland;28
2021-10-09;Syddanmark;475
2021-10-09;Hovedstaden;1368
2021-10-09;Sjælland;292
2021-10-10;Nordjylland;585
2021-10-10;Midtjylland;24
2021-10-10;Syddanmark;494
2021-10-10;Hovedstaden;50
2021-10-10;Sjælland;278
2021-10-11;Nordjylland;290
2021-10-11;Midtjylland;1797
2021-10-11;Syddanmark;1427
2021-10-11;Hovedstaden;374
2021-10-11;Sjælland;690
2021-10-12;Nordjylland;802
2021-10-12;Midtjylland;1782
2021-10-12;Syddanmark;1382
2021-10-12;Hovedstaden;2212
2021-10-12;Sjælland;525
2021-10-13;Nordjylland;589
2021-10-13;Midtjylland;1466
2021-10-13;Syddanmark;1298
2021-10-13;Hovedstaden;1986
2021-10-13;Sjælland;1719
2021-10-14;Nordjylland;508
2021-10-14;Midtjylland;1304
2021-10-14;Syddanmark;1135
2021-10-14;Hovedstaden;1745
2021-10-14;Sjælland;483
2021-10-15;Nordjylland;377
2021-10-15;Midtjylland;1494
2021-10-15;Syddanmark;1009
2021-10-15;Hovedstaden;1809
2021-10-15;Sjælland;585
2021-10-16;Nordjylland;100
2021-10-16;Midtjylland;32
2021-10-16;Syddanmark;1133
2021-10-16;Hovedstaden;2931
2021-10-16;Sjælland;856
2021-10-17;Nordjylland;1692
2021-10-17;Midtjylland;60
2021-10-17;Syddanmark;1898
2021-10-17;Hovedstaden;127
2021-10-17;Sjælland;1212
2021-10-18;Nordjylland;1417
2021-10-18;Midtjylland;2971
2021-10-18;Syddanmark;3314
2021-10-18;Hovedstaden;1712
2021-10-18;Sjælland;1746
2021-10-19;Nordjylland;1045
2021-10-19;Midtjylland;3410
2021-10-19;Syddanmark;3306
2021-10-19;Hovedstaden;5971
2021-10-19;Sjælland;1833
2021-10-20;Nordjylland;1804
2021-10-20;Midtjylland;2921
2021-10-20;Syddanmark;3063
2021-10-20;Hovedstaden;6065
2021-10-20;Sjælland;3295
2021-10-21;Nordjylland;1279
2021-10-21;Midtjylland;2445
2021-10-21;Syddanmark;2838
2021-10-21;Hovedstaden;5811
2021-10-21;Sjælland;2005
2021-10-22;Nordjylland;579
2021-10-22;Midtjylland;2823
2021-10-22;Syddanmark;2284
2021-10-22;Hovedstaden;5433
2021-10-22;Sjælland;1923
2021-10-23;Nordjylland;1003
2021-10-23;Midtjylland;72
2021-10-23;Syddanmark;1016
2021-10-23;Hovedstaden;3574
2021-10-23;Sjælland;931
2021-10-24;Nordjylland;1855
2021-10-24;Midtjylland;44
2021-10-24;Syddanmark;1065
