"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-10;Odense;K;84920;82297;23008;84783;82244;22159;137;53;849
2021-12-10;Odense;M;80820;77982;16361;80649;77948;15696;171;34;665
2021-12-10;Svendborg;K;24704;23858;8544;24623;23851;8202;81;7;342
2021-12-10;Svendborg;M;24023;23126;6188;23930;23105;5931;93;21;257
2021-12-10;Nordfyn;K;12031;11682;3414;12007;11680;3291;24;2;123
2021-12-10;Nordfyn;M;11907;11558;2610;11886;11557;2476;21;1;134
2021-12-10;Langeland;K;5161;5037;1688;5145;5035;1641;16;2;47
2021-12-10;Langeland;M;5117;4980;1249;5106;4978;1206;11;2;43
2021-12-10;Ærø;K;2545;2501;778;2542;2501;776;3;0;2
2021-12-10;Ærø;M;2546;2494;600;2545;2493;596;1;1;4
2021-12-10;Haderslev;K;22125;21385;5133;22010;21356;4718;115;29;415
2021-12-10;Haderslev;M;21849;21049;3787;21730;21030;3429;119;19;358
2021-12-10;Billund;K;10555;10185;2723;10529;10180;2606;26;5;117
2021-12-10;Billund;M;10669;10290;2140;10638;10283;2050;31;7;90
2021-12-10;Sønderborg;K;29878;29012;7980;29819;29000;7731;59;12;249
2021-12-10;Sønderborg;M;29181;28293;5868;29107;28276;5702;74;17;166
2021-12-10;Tønder;K;14536;14140;3200;14517;14131;3125;19;9;75
2021-12-10;Tønder;M;14336;13845;2322;14299;13838;2252;37;7;70
2021-12-10;Esbjerg;K;46072;44563;12552;45959;44518;12208;113;45;344
2021-12-10;Esbjerg;M;45354;43672;9187;45227;43636;8939;127;36;248
2021-12-10;Fanø;K;1480;1448;456;1478;1449;440;2;-1;16
2021-12-10;Fanø;M;1382;1347;387;1382;1345;376;0;2;11
2021-12-10;Varde;K;19644;19014;5435;19603;18995;5215;41;19;220
2021-12-10;Varde;M;19750;19067;4046;19689;19039;3870;61;28;176
2021-12-10;Vejen;K;16600;15978;4298;16546;15962;4162;54;16;136
2021-12-10;Vejen;M;16780;16035;3146;16727;16020;3027;53;15;119
2021-12-10;Aabenraa;K;23026;22285;5694;22964;22267;5452;62;18;242
2021-12-10;Aabenraa;M;22497;21709;4374;22449;21691;4195;48;18;179
2021-12-10;Fredericia;K;20933;20142;6001;20854;20139;5670;79;3;331
2021-12-10;Fredericia;M;20395;19584;4396;20315;19569;4175;80;15;221
2021-12-10;Horsens;K;37190;35670;11231;37049;35655;10823;141;15;408
2021-12-10;Horsens;M;36426;34764;7853;36309;34748;7523;117;16;330
2021-12-10;Kolding;K;37470;35830;9696;37358;35813;9411;112;17;285
