"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2020-12-27;20-29;Sjælland;47;0
2020-12-27;30-39;Sjælland;102;0
2020-12-27;40-49;Sjælland;177;0
2020-12-27;50-59;Sjælland;203;0
2020-12-27;60-69;Sjælland;156;0
2020-12-27;70-79;Sjælland;156;0
2020-12-27;80-89;Sjælland;239;0
2020-12-27;90+;Sjælland;111;0
2020-12-28;20-29;Nordjylland;9;0
2020-12-28;30-39;Nordjylland;14;0
2020-12-28;40-49;Nordjylland;17;0
2020-12-28;50-59;Nordjylland;37;0
2020-12-28;60-69;Nordjylland;27;0
2020-12-28;70-79;Nordjylland;1;0
2020-12-28;20-29;Midtjylland;20;0
2020-12-28;30-39;Midtjylland;37;0
2020-12-28;40-49;Midtjylland;46;0
2020-12-28;50-59;Midtjylland;53;0
2020-12-28;60-69;Midtjylland;36;0
2020-12-28;70-79;Midtjylland;3;0
2020-12-28;10-19;Syddanmark;2;0
2020-12-28;20-29;Syddanmark;47;0
2020-12-28;30-39;Syddanmark;60;0
2020-12-28;40-49;Syddanmark;118;0
2020-12-28;50-59;Syddanmark;135;0
2020-12-28;60-69;Syddanmark;83;0
2020-12-28;70-79;Syddanmark;48;0
2020-12-28;80-89;Syddanmark;68;0
2020-12-28;90+;Syddanmark;44;0
2020-12-28;10-19;Hovedstaden;1;0
2020-12-28;20-29;Hovedstaden;42;0
2020-12-28;30-39;Hovedstaden;89;0
2020-12-28;40-49;Hovedstaden;89;0
2020-12-28;50-59;Hovedstaden;71;0
2020-12-28;60-69;Hovedstaden;69;0
2020-12-28;70-79;Hovedstaden;45;0
2020-12-28;80-89;Hovedstaden;35;0
2020-12-28;90+;Hovedstaden;35;0
2020-12-28;20-29;Sjælland;42;0
2020-12-28;30-39;Sjælland;86;0
2020-12-28;40-49;Sjælland;154;0
2020-12-28;50-59;Sjælland;148;0
2020-12-28;60-69;Sjælland;109;0
2020-12-28;70-79;Sjælland;10;0
2020-12-28;90+;Sjælland;1;0
2020-12-29;20-29;Nordjylland;8;0
2020-12-29;30-39;Nordjylland;17;0
2020-12-29;40-49;Nordjylland;36;1
2020-12-29;50-59;Nordjylland;45;0
2020-12-29;60-69;Nordjylland;46;0
2020-12-29;70-79;Nordjylland;33;0
2020-12-29;80-89;Nordjylland;67;0
2020-12-29;90+;Nordjylland;37;0
2020-12-29;10-19;Midtjylland;2;0
2020-12-29;20-29;Midtjylland;80;0
2020-12-29;30-39;Midtjylland;121;0
2020-12-29;40-49;Midtjylland;170;0
2020-12-29;50-59;Midtjylland;194;0
2020-12-29;60-69;Midtjylland;144;0
2020-12-29;70-79;Midtjylland;76;0
2020-12-29;80-89;Midtjylland;138;0
2020-12-29;90+;Midtjylland;95;0
2020-12-29;10-19;Syddanmark;1;0
2020-12-29;20-29;Syddanmark;104;0
2020-12-29;30-39;Syddanmark;212;0
