uge;år;Klassifikation;Antal nyindlæggelser;Andel nyindlæggelser
34;2021;Luftvejs- eller obsdiagnose;8;0,0402
34;2021;Anden diagnose;34;0,1709
35;2021;Covid-19 diagnose;146;0,7892
35;2021;Luftvejs- eller obsdiagnose;2;0,0108
35;2021;Anden diagnose;37;0,2000
36;2021;Covid-19 diagnose;118;0,7763
36;2021;Luftvejs- eller obsdiagnose;5;0,0329
36;2021;Anden diagnose;29;0,1908
37;2021;Covid-19 diagnose;65;0,7386
37;2021;Luftvejs- eller obsdiagnose;3;0,0341
37;2021;Anden diagnose;20;0,2273
38;2021;Covid-19 diagnose;71;0,7889
38;2021;Luftvejs- eller obsdiagnose;4;0,0444
38;2021;Anden diagnose;15;0,1667
39;2021;Covid-19 diagnose;66;0,7952
39;2021;Luftvejs- eller obsdiagnose;2;0,0241
39;2021;Anden diagnose;15;0,1807
40;2021;Covid-19 diagnose;86;0,7890
40;2021;Luftvejs- eller obsdiagnose;2;0,0183
40;2021;Anden diagnose;21;0,1927
41;2021;Covid-19 diagnose;120;0,7453
41;2021;Luftvejs- eller obsdiagnose;12;0,0745
41;2021;Anden diagnose;29;0,1801
42;2021;Covid-19 diagnose;181;0,7605
42;2021;Luftvejs- eller obsdiagnose;12;0,0504
42;2021;Anden diagnose;45;0,1891
43;2021;Covid-19 diagnose;228;0,7625
43;2021;Luftvejs- eller obsdiagnose;10;0,0334
43;2021;Anden diagnose;61;0,2040
44;2021;Covid-19 diagnose;296;0,7893
44;2021;Luftvejs- eller obsdiagnose;8;0,0213
44;2021;Anden diagnose;71;0,1893
45;2021;Covid-19 diagnose;342;0,7703
45;2021;Luftvejs- eller obsdiagnose;14;0,0315
45;2021;Anden diagnose;88;0,1982
46;2021;Covid-19 diagnose;423;0,7705
46;2021;Luftvejs- eller obsdiagnose;14;0,0255
46;2021;Anden diagnose;112;0,2040
47;2021;Covid-19 diagnose;394;0,7074
47;2021;Luftvejs- eller obsdiagnose;21;0,0377
47;2021;Anden diagnose;142;0,2549
48;2021;Covid-19 diagnose;455;0,7435
48;2021;Luftvejs- eller obsdiagnose;16;0,0261
48;2021;Anden diagnose;141;0,2304
49;2021;Covid-19 diagnose;480;0,7111
49;2021;Luftvejs- eller obsdiagnose;30;0,0444
49;2021;Anden diagnose;165;0,2444
50;2021;Covid-19 diagnose;546;0,7082
50;2021;Luftvejs- eller obsdiagnose;30;0,0389
50;2021;Anden diagnose;195;0,2529
51;2021;Covid-19 diagnose;577;0,6994
51;2021;Luftvejs- eller obsdiagnose;29;0,0352
51;2021;Anden diagnose;219;0,2655
52;2021;Covid-19 diagnose;739;0,6546
52;2021;Luftvejs- eller obsdiagnose;43;0,0381
52;2021;Anden diagnose;347;0,3074
1;2022;Covid-19 diagnose;667;0,5977
1;2022;Luftvejs- eller obsdiagnose;42;0,0376
1;2022;Anden diagnose;407;0,3647
2;2022;Covid-19 diagnose;774;0,6009
2;2022;Luftvejs- eller obsdiagnose;49;0,0380
2;2022;Anden diagnose;465;0,3610
3;2022;Covid-19 diagnose;840;0,5497
3;2022;Luftvejs- eller obsdiagnose;71;0,0465
3;2022;Anden diagnose;617;0,4038
