"Revacc. 1 dato";"kommunenavn";"Antal revacc. 1"
2021-09-11;Nordfyn;20
2021-09-11;Langeland;1
2021-09-11;Ærø;3
2021-09-11;Haderslev;5
2021-09-11;Billund;11
2021-09-11;Sønderborg;7
2021-09-11;Tønder;1
2021-09-11;Esbjerg;70
2021-09-11;Fanø;1
2021-09-11;Varde;11
2021-09-11;Vejen;45
2021-09-11;Aabenraa;7
2021-09-11;Fredericia;28
2021-09-11;Horsens;3
2021-09-11;Kolding;53
2021-09-11;Vejle;86
2021-09-11;Herning;2
2021-09-11;Syddjurs;10
2021-09-11;Norddjurs;2
2021-09-11;Favrskov;21
2021-09-11;Odder;3
2021-09-11;Randers;10
2021-09-11;Silkeborg;1
2021-09-11;Samsø;1
2021-09-11;Skanderborg;15
2021-09-11;Århus;171
2021-09-11;Ikast-Brande;3
2021-09-11;Hedensted;9
2021-09-11;Skive;1
2021-09-11;Viborg;4
2021-09-11;Brønderslev;3
2021-09-11;Frederikshavn;1
2021-09-11;Vesthimmerland;2
2021-09-11;Rebild;1
2021-09-11;Jammerbugt;2
2021-09-11;Aalborg;14
2021-09-11;Hjørring;6
2021-09-12;København;200
2021-09-12;Frederiksberg;41
2021-09-12;Ballerup;34
2021-09-12;Brøndby;3
2021-09-12;Dragør;10
2021-09-12;Gentofte;43
2021-09-12;Gladsaxe;32
2021-09-12;Glostrup;12
2021-09-12;Herlev;30
2021-09-12;Albertslund;6
2021-09-12;Hvidovre;13
2021-09-12;Høje Tåstrup;6
2021-09-12;Lyngby-Taarbæk;34
2021-09-12;Rødovre;25
2021-09-12;Ishøj;2
2021-09-12;Tårnby;28
2021-09-12;Vallensbæk;1
2021-09-12;Furesø;43
2021-09-12;Allerød;13
2021-09-12;Fredensborg;15
2021-09-12;Helsingør;31
2021-09-12;Hillerød;35
2021-09-12;Hørsholm;18
2021-09-12;Rudersdal;37
2021-09-12;Egedal;32
2021-09-12;Frederikssund;27
2021-09-12;Greve;9
2021-09-12;Køge;37
2021-09-12;Halsnæs;19
2021-09-12;Roskilde;58
2021-09-12;Solrød;13
2021-09-12;Gribskov;31
2021-09-12;Odsherred;5
2021-09-12;Holbæk;40
2021-09-12;Faxe;5
2021-09-12;Kalundborg;11
2021-09-12;Ringsted;4
2021-09-12;Slagelse;33
2021-09-12;Stevns;4
2021-09-12;Sorø;5
2021-09-12;Lejre;8
2021-09-12;Lolland;17
2021-09-12;Næstved;51
2021-09-12;Guldborgsund;6
2021-09-12;Vordingborg;9
2021-09-12;Bornholm;16
2021-09-12;Middelfart;16
2021-09-12;Assens;24
2021-09-12;Faaborg-Midtfyn;31
2021-09-12;Kerteminde;11
2021-09-12;Nyborg;14
2021-09-12;Odense;60
2021-09-12;Svendborg;24
2021-09-12;Nordfyn;12
2021-09-12;Langeland;6
2021-09-12;Ærø;1
2021-09-12;Haderslev;9
2021-09-12;Billund;11
2021-09-12;Esbjerg;32
2021-09-12;Fanø;1
2021-09-12;Varde;70
2021-09-12;Vejen;15
2021-09-12;Aabenraa;2
2021-09-12;Fredericia;40
2021-09-12;Kolding;57
2021-09-12;Vejle;73
2021-09-12;Herning;2
2021-09-12;Lemvig;1
2021-09-12;Struer;1
2021-09-12;Syddjurs;5
2021-09-12;Norddjurs;1
2021-09-12;Favrskov;16
2021-09-12;Skanderborg;2
2021-09-12;Århus;120
2021-09-12;Ikast-Brande;1
2021-09-12;Ringkøbing-Skjern;8
2021-09-12;Hedensted;4
2021-09-12;Morsø;12
2021-09-12;Skive;5
2021-09-12;Thisted;39
2021-09-12;Brønderslev;1
2021-09-12;Frederikshavn;3
2021-09-12;Rebild;3
2021-09-12;Mariagerfjord;7
2021-09-12;Jammerbugt;8
2021-09-12;Aalborg;11
2021-09-12;Hjørring;2
2021-09-13;København;638
2021-09-13;Frederiksberg;54
2021-09-13;Ballerup;255
2021-09-13;Brøndby;38
2021-09-13;Dragør;9
2021-09-13;Gentofte;53
2021-09-13;Gladsaxe;35
2021-09-13;Glostrup;27
2021-09-13;Herlev;21
2021-09-13;Albertslund;21
2021-09-13;Hvidovre;38
2021-09-13;Høje Tåstrup;53
2021-09-13;Lyngby-Taarbæk;47
2021-09-13;Rødovre;26
2021-09-13;Ishøj;16
2021-09-13;Tårnby;25
2021-09-13;Vallensbæk;23
2021-09-13;Furesø;34
2021-09-13;Allerød;119
2021-09-13;Fredensborg;39
2021-09-13;Helsingør;88
2021-09-13;Hillerød;55
2021-09-13;Hørsholm;21
2021-09-13;Rudersdal;170
2021-09-13;Egedal;30
2021-09-13;Frederikssund;61
2021-09-13;Greve;85
2021-09-13;Køge;42
2021-09-13;Halsnæs;27
2021-09-13;Roskilde;71
2021-09-13;Solrød;18
2021-09-13;Gribskov;28
2021-09-13;Odsherred;75
2021-09-13;Holbæk;75
2021-09-13;Faxe;20
2021-09-13;Kalundborg;83
2021-09-13;Ringsted;7
2021-09-13;Slagelse;51
2021-09-13;Stevns;38
2021-09-13;Sorø;13
2021-09-13;Lejre;60
2021-09-13;Lolland;15
2021-09-13;Næstved;73
2021-09-13;Guldborgsund;142
2021-09-13;Vordingborg;44
2021-09-13;Bornholm;59
2021-09-13;Middelfart;26
2021-09-13;Assens;24
2021-09-13;Faaborg-Midtfyn;42
2021-09-13;Kerteminde;20
2021-09-13;Nyborg;16
2021-09-13;Odense;306
2021-09-13;Svendborg;43
2021-09-13;Nordfyn;21
2021-09-13;Langeland;7
2021-09-13;Ærø;1
2021-09-13;Haderslev;7
2021-09-13;Billund;51
2021-09-13;Sønderborg;5
2021-09-13;Tønder;4
2021-09-13;Esbjerg;185
2021-09-13;Fanø;33
2021-09-13;Varde;77
2021-09-13;Vejen;12
2021-09-13;Aabenraa;10
2021-09-13;Fredericia;42
2021-09-13;Horsens;127
2021-09-13;Kolding;60
