"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-01-03;16-19;Syddanmark;2;0
2021-01-03;20-39;Syddanmark;88;0
2021-01-03;40-64;Syddanmark;320;0
2021-01-03;65-79;Syddanmark;126;0
2021-01-03;80+;Syddanmark;177;0
2021-01-03;16-19;Hovedstaden;6;0
2021-01-03;20-39;Hovedstaden;254;0
2021-01-03;40-64;Hovedstaden;741;0
2021-01-03;65-79;Hovedstaden;291;0
2021-01-03;80+;Hovedstaden;454;0
2021-01-03;16-19;Sjælland;1;0
2021-01-03;20-39;Sjælland;27;0
2021-01-03;40-64;Sjælland;69;0
2021-01-03;65-79;Sjælland;6;0
2021-01-03;80+;Sjælland;3;0
2021-01-04;16-19;Nordjylland;2;0
2021-01-04;20-39;Nordjylland;218;0
2021-01-04;40-64;Nordjylland;485;0
2021-01-04;65-79;Nordjylland;95;0
2021-01-04;80+;Nordjylland;143;0
2021-01-04;20-39;Midtjylland;27;0
2021-01-04;40-64;Midtjylland;35;0
2021-01-04;65-79;Midtjylland;4;0
2021-01-04;80+;Midtjylland;1;0
2021-01-04;16-19;Syddanmark;8;0
2021-01-04;20-39;Syddanmark;282;0
2021-01-04;40-64;Syddanmark;549;0
2021-01-04;65-79;Syddanmark;61;0
2021-01-04;80+;Syddanmark;29;0
2021-01-04;16-19;Hovedstaden;1;0
2021-01-04;20-39;Hovedstaden;84;0
2021-01-04;40-64;Hovedstaden;170;0
2021-01-04;65-79;Hovedstaden;39;0
2021-01-04;80+;Hovedstaden;55;0
2021-01-04;16-19;Sjælland;1;0
2021-01-04;20-39;Sjælland;2;0
2021-01-04;40-64;Sjælland;19;0
2021-01-04;65-79;Sjælland;2;0
2021-01-04;80+;Sjælland;1;0
2021-01-05;16-19;Nordjylland;21;0
2021-01-05;20-39;Nordjylland;274;0
2021-01-05;40-64;Nordjylland;932;0
2021-01-05;65-79;Nordjylland;237;0
2021-01-05;80+;Nordjylland;450;0
2021-01-05;16-19;Midtjylland;16;0
2021-01-05;20-39;Midtjylland;417;0
2021-01-05;40-64;Midtjylland;1280;0
2021-01-05;65-79;Midtjylland;323;0
2021-01-05;80+;Midtjylland;493;0
2021-01-05;16-19;Syddanmark;13;0
2021-01-05;20-39;Syddanmark;324;0
2021-01-05;40-64;Syddanmark;577;0
2021-01-05;65-79;Syddanmark;85;0
2021-01-05;80+;Syddanmark;104;0
2021-01-05;16-19;Hovedstaden;40;0
2021-01-05;20-39;Hovedstaden;1325;0
2021-01-05;40-64;Hovedstaden;3050;0
2021-01-05;65-79;Hovedstaden;686;0
2021-01-05;80+;Hovedstaden;935;0
2021-01-05;16-19;Sjælland;4;0
2021-01-05;20-39;Sjælland;82;0
2021-01-05;40-64;Sjælland;236;0
2021-01-05;65-79;Sjælland;95;0
2021-01-05;80+;Sjælland;101;0
2021-01-06;16-19;Nordjylland;11;0
2021-01-06;20-39;Nordjylland;321;0
2021-01-06;40-64;Nordjylland;1206;0
2021-01-06;65-79;Nordjylland;347;0
2021-01-06;80+;Nordjylland;558;0
2021-01-06;16-19;Midtjylland;14;0
2021-01-06;20-39;Midtjylland;670;0
2021-01-06;40-64;Midtjylland;1659;0
2021-01-06;65-79;Midtjylland;589;0
2021-01-06;80+;Midtjylland;886;0
2021-01-06;16-19;Syddanmark;25;0
2021-01-06;20-39;Syddanmark;566;0
2021-01-06;40-64;Syddanmark;1624;0
2021-01-06;65-79;Syddanmark;422;0
2021-01-06;80+;Syddanmark;603;0
2021-01-06;16-19;Hovedstaden;30;0
2021-01-06;20-39;Hovedstaden;1225;0
2021-01-06;40-64;Hovedstaden;3058;0
2021-01-06;65-79;Hovedstaden;856;0
2021-01-06;80+;Hovedstaden;989;0
2021-01-06;16-19;Sjælland;2;0
2021-01-06;20-39;Sjælland;269;0
2021-01-06;40-64;Sjælland;901;0
2021-01-06;65-79;Sjælland;205;0
2021-01-06;80+;Sjælland;393;0
2021-01-07;16-19;Nordjylland;6;0
2021-01-07;20-39;Nordjylland;374;0
2021-01-07;40-64;Nordjylland;549;0
2021-01-07;65-79;Nordjylland;81;0
2021-01-07;80+;Nordjylland;62;0
2021-01-07;16-19;Midtjylland;22;0
2021-01-07;20-39;Midtjylland;656;0
2021-01-07;40-64;Midtjylland;1761;0
2021-01-07;65-79;Midtjylland;545;0
2021-01-07;80+;Midtjylland;896;0
2021-01-07;16-19;Syddanmark;20;0
2021-01-07;20-39;Syddanmark;591;0
2021-01-07;40-64;Syddanmark;1814;0
2021-01-07;65-79;Syddanmark;602;0
2021-01-07;80+;Syddanmark;831;0
2021-01-07;16-19;Hovedstaden;28;0
2021-01-07;20-39;Hovedstaden;677;0
2021-01-07;40-64;Hovedstaden;2200;0
2021-01-07;65-79;Hovedstaden;1144;0
2021-01-07;80+;Hovedstaden;992;0
2021-01-07;16-19;Sjælland;6;0
2021-01-07;20-39;Sjælland;197;0
2021-01-07;40-64;Sjælland;650;0
