"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2021-01-13;40-64;Syddanmark;716;0
2021-01-13;65-79;Syddanmark;443;0
2021-01-13;80+;Syddanmark;658;0
2021-01-13;16-19;Hovedstaden;27;0
2021-01-13;20-39;Hovedstaden;1307;1
2021-01-13;40-64;Hovedstaden;2809;0
2021-01-13;65-79;Hovedstaden;1754;0
2021-01-13;80+;Hovedstaden;784;0
2021-01-13;16-19;Sjælland;6;0
2021-01-13;20-39;Sjælland;182;0
2021-01-13;40-64;Sjælland;487;0
2021-01-13;65-79;Sjælland;159;0
2021-01-13;80+;Sjælland;91;0
2021-01-14;20-39;Nordjylland;55;0
2021-01-14;40-64;Nordjylland;115;0
2021-01-14;65-79;Nordjylland;149;0
2021-01-14;80+;Nordjylland;311;0
2021-01-14;16-19;Midtjylland;14;0
2021-01-14;20-39;Midtjylland;438;0
2021-01-14;40-64;Midtjylland;795;0
2021-01-14;65-79;Midtjylland;516;0
2021-01-14;80+;Midtjylland;888;0
2021-01-14;12-15;Syddanmark;1;0
2021-01-14;16-19;Syddanmark;9;0
2021-01-14;20-39;Syddanmark;581;0
2021-01-14;40-64;Syddanmark;1101;0
2021-01-14;65-79;Syddanmark;797;0
2021-01-14;80+;Syddanmark;976;0
2021-01-14;6-11;Hovedstaden;1;0
2021-01-14;16-19;Hovedstaden;21;0
2021-01-14;20-39;Hovedstaden;1628;0
2021-01-14;40-64;Hovedstaden;3246;1
2021-01-14;65-79;Hovedstaden;2107;0
2021-01-14;80+;Hovedstaden;1236;0
2021-01-14;16-19;Sjælland;4;0
2021-01-14;20-39;Sjælland;257;0
2021-01-14;40-64;Sjælland;738;0
2021-01-14;65-79;Sjælland;216;0
2021-01-14;80+;Sjælland;624;0
2021-01-15;16-19;Nordjylland;2;0
2021-01-15;20-39;Nordjylland;112;0
2021-01-15;40-64;Nordjylland;236;0
2021-01-15;65-79;Nordjylland;293;0
2021-01-15;80+;Nordjylland;568;0
2021-01-15;16-19;Midtjylland;15;0
2021-01-15;20-39;Midtjylland;538;0
2021-01-15;40-64;Midtjylland;1086;0
2021-01-15;65-79;Midtjylland;633;0
