"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-05;Favrskov;K;18655;18095;18653;18071;2;24
2021-09-05;Favrskov;M;18569;18023;18568;18008;1;15
2021-09-05;Odder;K;9343;9067;9343;9066;0;1
2021-09-05;Odder;M;8972;8735;8972;8734;0;1
2021-09-05;Randers;K;38224;36862;38223;36854;1;8
2021-09-05;Randers;M;37093;35735;37093;35730;0;5
2021-09-05;Silkeborg;K;36817;35389;36817;35381;0;8
2021-09-05;Silkeborg;M;36124;34820;36124;34816;0;4
2021-09-05;Samsø;K;1540;1511;1540;1510;0;1
2021-09-05;Samsø;M;1504;1458;1504;1458;0;0
2021-09-05;Skanderborg;K;24511;23445;24511;23427;0;18
2021-09-05;Skanderborg;M;23870;22977;23868;22959;2;18
2021-09-05;Århus;K;139070;132529;139050;132111;20;418
2021-09-05;Århus;M;131885;125722;131867;125391;18;331
2021-09-05;Ikast-Brande;K;15465;14865;15465;14855;0;10
2021-09-05;Ikast-Brande;M;15607;15031;15607;15020;0;11
2021-09-05;Ringkøbing-Skjern;K;21343;20574;21341;20569;2;5
2021-09-05;Ringkøbing-Skjern;M;21499;20694;21498;20687;1;7
2021-09-05;Hedensted;K;17898;17410;17896;17398;2;12
2021-09-05;Hedensted;M;18115;17601;18113;17588;2;13
2021-09-05;Morsø;K;7852;7681;7852;7681;0;0
2021-09-05;Morsø;M;7840;7622;7840;7621;0;1
2021-09-05;Skive;K;17617;17169;17617;17169;0;0
2021-09-05;Skive;M;17912;17423;17912;17423;0;0
2021-09-05;Thisted;K;16734;16275;16734;16275;0;0
2021-09-05;Thisted;M;16618;16154;16618;16153;0;1
2021-09-05;Viborg;K;37480;36364;37479;36361;1;3
2021-09-05;Viborg;M;36985;35830;36985;35829;0;1
2021-09-05;Brønderslev;K;13804;13315;13792;13278;12;37
2021-09-05;Brønderslev;M;13819;13295;13808;13262;11;33
2021-09-05;Frederikshavn;K;23428;22776;23425;22771;3;5
2021-09-05;Frederikshavn;M;22999;22261;22996;22253;3;8
2021-09-05;Vesthimmerland;K;13834;13416;13816;13344;18;72
2021-09-05;Vesthimmerland;M;13830;13369;13818;13287;12;82
2021-09-05;Læsø;K;738;710;738;710;0;0
2021-09-05;Læsø;M;726;719;726;719;0;0
2021-09-05;Rebild;K;11424;11035;11415;10992;9;43
2021-09-05;Rebild;M;11613;11254;11604;11193;9;61
2021-09-05;Mariagerfjord;K;16029;15543;16028;15538;1;5
2021-09-05;Mariagerfjord;M;16363;15833;16360;15824;3;9
2021-09-05;Jammerbugt;K;14716;14301;14705;14278;11;23
2021-09-05;Jammerbugt;M;14662;14160;14648;14126;14;34
2021-09-05;Aalborg;K;85395;81976;85300;81598;95;378
2021-09-05;Aalborg;M;85364;81699;85251;81323;113;376
2021-09-05;Hjørring;K;25341;24519;25312;24475;29;44
2021-09-05;Hjørring;M;24665;23757;24634;23695;31;62
