"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2021-01-11;65-79;Hovedstaden;6;0
2021-01-11;20-39;Sjælland;110;0
2021-01-11;40-64;Sjælland;383;0
2021-01-11;65-79;Sjælland;29;0
2021-01-12;20-39;Nordjylland;1;0
2021-01-12;40-64;Nordjylland;2;0
2021-01-12;65-79;Nordjylland;1;0
2021-01-12;80+;Nordjylland;2;0
;;NA;0;1
2021-01-12;40-64;Midtjylland;13;0
2021-01-12;80+;Midtjylland;1;0
2021-01-12;20-39;Syddanmark;3;1
2021-01-12;40-64;Syddanmark;8;0
2021-01-12;65-79;Syddanmark;2;0
2021-01-12;20-39;Hovedstaden;30;0
2021-01-12;40-64;Hovedstaden;37;0
2021-01-12;65-79;Hovedstaden;7;0
2021-01-12;20-39;Sjælland;82;0
2021-01-12;40-64;Sjælland;254;0
2021-01-12;65-79;Sjælland;21;0
2021-01-13;20-39;Nordjylland;89;0
2021-01-13;40-64;Nordjylland;157;0
2021-01-13;65-79;Nordjylland;78;0
2021-01-13;80+;Nordjylland;146;0
2021-01-13;16-19;Midtjylland;4;0
2021-01-13;20-39;Midtjylland;370;1
2021-01-13;40-64;Midtjylland;674;1
2021-01-13;65-79;Midtjylland;314;0
2021-01-13;80+;Midtjylland;530;0
2021-01-13;16-19;Syddanmark;1;0
2021-01-13;20-39;Syddanmark;341;0
2021-01-13;40-64;Syddanmark;712;0
2021-01-13;65-79;Syddanmark;433;0
2021-01-13;80+;Syddanmark;708;0
2021-01-13;16-19;Hovedstaden;19;0
2021-01-13;20-39;Hovedstaden;1237;0
2021-01-13;40-64;Hovedstaden;2787;1
2021-01-13;65-79;Hovedstaden;1792;0
2021-01-13;80+;Hovedstaden;902;0
2021-01-13;16-19;Sjælland;5;0
2021-01-13;20-39;Sjælland;171;0
2021-01-13;40-64;Sjælland;491;0
2021-01-13;65-79;Sjælland;164;0
2021-01-13;80+;Sjælland;96;0
2021-01-14;20-39;Nordjylland;48;0
2021-01-14;40-64;Nordjylland;117;0
2021-01-14;65-79;Nordjylland;143;0
2021-01-14;80+;Nordjylland;338;0
2021-01-14;16-19;Midtjylland;5;0
2021-01-14;20-39;Midtjylland;422;0
2021-01-14;40-64;Midtjylland;799;0
2021-01-14;65-79;Midtjylland;502;0
2021-01-14;80+;Midtjylland;948;0
2021-01-14;16-19;Syddanmark;5;0
2021-01-14;20-39;Syddanmark;566;0
2021-01-14;40-64;Syddanmark;1095;0
2021-01-14;65-79;Syddanmark;773;0
2021-01-14;80+;Syddanmark;1082;0
2021-01-14;6-11;Hovedstaden;1;0
2021-01-14;16-19;Hovedstaden;9;0
2021-01-14;20-39;Hovedstaden;1555;0
2021-01-14;40-64;Hovedstaden;3217;1
2021-01-14;65-79;Hovedstaden;2174;0
2021-01-14;80+;Hovedstaden;1364;0
2021-01-14;20-39;Sjælland;231;0
2021-01-14;40-64;Sjælland;747;0
2021-01-14;65-79;Sjælland;231;0
2021-01-14;80+;Sjælland;654;0
2021-01-15;20-39;Nordjylland;106;0
2021-01-15;40-64;Nordjylland;237;0
2021-01-15;65-79;Nordjylland;280;0
2021-01-15;80+;Nordjylland;602;0
2021-01-15;16-19;Midtjylland;4;0
2021-01-15;20-39;Midtjylland;512;0
2021-01-15;40-64;Midtjylland;1101;0
2021-01-15;65-79;Midtjylland;647;0
2021-01-15;80+;Midtjylland;812;0
2021-01-15;16-19;Syddanmark;4;0
2021-01-15;20-39;Syddanmark;503;0
2021-01-15;40-64;Syddanmark;1093;0
2021-01-15;65-79;Syddanmark;1027;0
2021-01-15;80+;Syddanmark;1224;0
2021-01-15;16-19;Hovedstaden;6;0
2021-01-15;20-39;Hovedstaden;961;1
2021-01-15;40-64;Hovedstaden;2067;2
2021-01-15;65-79;Hovedstaden;1286;2
2021-01-15;80+;Hovedstaden;956;0
2021-01-15;20-39;Sjælland;115;0
2021-01-15;40-64;Sjælland;367;0
2021-01-15;65-79;Sjælland;119;0
2021-01-15;80+;Sjælland;336;0
2021-01-16;16-19;Nordjylland;1;0
2021-01-16;20-39;Nordjylland;41;0
2021-01-16;40-64;Nordjylland;129;0
2021-01-16;65-79;Nordjylland;302;0
2021-01-16;80+;Nordjylland;716;0
2021-01-16;16-19;Midtjylland;5;0
2021-01-16;20-39;Midtjylland;234;0
