"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
147;30-39;912;2021-03-19
151;30-39;379;2021-03-19
153;30-39;417;2021-03-19
155;30-39;78;2021-03-19
157;30-39;349;2021-03-19
159;30-39;601;2021-03-19
161;30-39;263;2021-03-19
163;30-39;289;2021-03-19
165;30-39;291;2021-03-19
167;30-39;520;2021-03-19
169;30-39;608;2021-03-19
173;30-39;283;2021-03-19
175;30-39;384;2021-03-19
183;30-39;374;2021-03-19
185;30-39;327;2021-03-19
187;30-39;233;2021-03-19
190;30-39;221;2021-03-19
201;30-39;99;2021-03-19
210;30-39;212;2021-03-19
217;30-39;333;2021-03-19
219;30-39;283;2021-03-19
223;30-39;75;2021-03-19
230;30-39;230;2021-03-19
240;30-39;279;2021-03-19
250;30-39;161;2021-03-19
253;30-39;350;2021-03-19
259;30-39;355;2021-03-19
260;30-39;99;2021-03-19
265;30-39;516;2021-03-19
269;30-39;170;2021-03-19
270;30-39;148;2021-03-19
306;30-39;80;2021-03-19
316;30-39;304;2021-03-19
320;30-39;152;2021-03-19
326;30-39;147;2021-03-19
329;30-39;179;2021-03-19
330;30-39;445;2021-03-19
336;30-39;89;2021-03-19
340;30-39;103;2021-03-19
350;30-39;154;2021-03-19
360;30-39;101;2021-03-19
370;30-39;335;2021-03-19
376;30-39;197;2021-03-19
390;30-39;133;2021-03-19
400;30-39;70;2021-03-19
410;30-39;79;2021-03-19
420;30-39;90;2021-03-19
430;30-39;113;2021-03-19
440;30-39;47;2021-03-19
450;30-39;102;2021-03-19
461;30-39;987;2021-03-19
479;30-39;99;2021-03-19
480;30-39;66;2021-03-19
482;30-39;14;2021-03-19
492;30-39;1;2021-03-19
510;30-39;102;2021-03-19
530;30-39;83;2021-03-19
540;30-39;181;2021-03-19
550;30-39;69;2021-03-19
561;30-39;355;2021-03-19
563;30-39;5;2021-03-19
573;30-39;150;2021-03-19
575;30-39;128;2021-03-19
580;30-39;147;2021-03-19
607;30-39;154;2021-03-19
615;30-39;371;2021-03-19
621;30-39;490;2021-03-19
630;30-39;537;2021-03-19
657;30-39;318;2021-03-19
661;30-39;218;2021-03-19
665;30-39;49;2021-03-19
671;30-39;78;2021-03-19
706;30-39;81;2021-03-19
707;30-39;74;2021-03-19
710;30-39;162;2021-03-19
727;30-39;56;2021-03-19
730;30-39;332;2021-03-19
740;30-39;326;2021-03-19
741;30-39;6;2021-03-19
746;30-39;249;2021-03-19
751;30-39;1964;2021-03-19
756;30-39;121;2021-03-19
760;30-39;130;2021-03-19
766;30-39;123;2021-03-19
773;30-39;42;2021-03-19
779;30-39;105;2021-03-19
787;30-39;122;2021-03-19
791;30-39;235;2021-03-19
810;30-39;128;2021-03-19
813;30-39;152;2021-03-19
820;30-39;108;2021-03-19
840;30-39;97;2021-03-19
846;30-39;119;2021-03-19
849;30-39;118;2021-03-19
851;30-39;779;2021-03-19
860;30-39;170;2021-03-19
961;30-39;1;2021-03-19
;40-49;310;2021-03-19
011;40-49;174;2021-03-19
012;40-49;1;2021-03-19
019;40-49;16;2021-03-19
101;40-49;5072;2021-03-19
147;40-49;790;2021-03-19
151;40-49;476;2021-03-19
153;40-49;431;2021-03-19
155;40-49;106;2021-03-19
157;40-49;574;2021-03-19
159;40-49;612;2021-03-19
161;40-49;224;2021-03-19
163;40-49;340;2021-03-19
165;40-49;349;2021-03-19
167;40-49;583;2021-03-19
169;40-49;603;2021-03-19
173;40-49;378;2021-03-19
175;40-49;448;2021-03-19
183;40-49;374;2021-03-19
185;40-49;470;2021-03-19
187;40-49;221;2021-03-19
190;40-49;272;2021-03-19
201;40-49;135;2021-03-19
210;40-49;274;2021-03-19
217;40-49;456;2021-03-19
219;40-49;321;2021-03-19
223;40-49;131;2021-03-19
230;40-49;379;2021-03-19
240;40-49;398;2021-03-19
250;40-49;253;2021-03-19
253;40-49;491;2021-03-19
259;40-49;467;2021-03-19
260;40-49;118;2021-03-19
265;40-49;547;2021-03-19
269;40-49;219;2021-03-19
270;40-49;232;2021-03-19
306;40-49;128;2021-03-19
316;40-49;416;2021-03-19
